DISCIPLINE,00000000-0000-0000-0000-000000000000,Combined
CHAPTER,d7dff36f-7201-4d37-a4d6-b62e07fab910,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,00000000-0000-0000-0000-000000000000
CHAPTER,e925c9bc-bf05-40b4-b0a3-e563c243116d,Range and Course Construction,2,The following general regulations of course construction list the criteria~ responsibilities and restrictions applicable to courses of fire in IPSC matches. Course Designers~ host organizations and officials are governed by these regulations. ,00000000-0000-0000-0000-000000000000
CHAPTER,8d19825f-8c92-4012-af72-6c805ead4fcb,Course Information,3,,00000000-0000-0000-0000-000000000000
CHAPTER,c5232c99-1f50-45be-892d-774150ca4fb2,Range Equipment,4,,00000000-0000-0000-0000-000000000000
CHAPTER,85e99bbf-42f9-4e23-87f1-e0ccbc4ee0a6,Competitor Equipment,5,,00000000-0000-0000-0000-000000000000
CHAPTER,409eb8b2-7f9c-4ca2-b171-5b43b801881a,Match Structure,6,,00000000-0000-0000-0000-000000000000
CHAPTER,0860c5e2-d755-4c77-8866-9b31f15e1998,Match Management,7,,00000000-0000-0000-0000-000000000000
CHAPTER,6b6cdf89-79d9-4307-8e41-8e4673d4ef8b,The Course of Fire,8,,00000000-0000-0000-0000-000000000000
CHAPTER,b5ae926f-e6b9-4e48-8edd-9a977b4279c8,Scoring,9,,00000000-0000-0000-0000-000000000000
CHAPTER,08e8bb50-d456-420f-af24-34c5b92b10a6,Penalties and Disqualifications,10,,00000000-0000-0000-0000-000000000000
CHAPTER,74f7cf55-6892-45b2-829c-7aab1ed33225,Arbitration and Interpretation of Rules,11,,00000000-0000-0000-0000-000000000000
CHAPTER,1cdda85a-5f33-40b7-bc6a-5641ee46ab02,Miscellaneous Matters,12,,00000000-0000-0000-0000-000000000000
RULE,f0045e29-7827-4028-9204-0fdc405af304,,6.2.2,In IPSC sanctioned matches~ the minimum number of competitors stipulated in Appendix A2 must compete in each Division for it to be recognized. If there are insufficient competitors in a Division~ the Match Director may allow that Division to stand without official IPSC recognition.,c365ae18-1743-4b13-8cc5-5853e8f6d0a0,00000000-0000-0000-0000-000000000000
RULE,6ef339ca-2c75-4963-825c-762319bdf203,,6.2.3,Prior to the commencement of a match~ each competitor must declare one Division for score~ and Match Officials should check competitor equipment compliance with the declared Division~ prior to the competitor making an attempt at any of the courses of fire. This is a service to assist competitors verify that their equipment~ in the configuration as presented~ is in compliance with their declared Division. However~ competitors always remain subject to the provisions of Rule 6.2.5.1.,c365ae18-1743-4b13-8cc5-5853e8f6d0a0,00000000-0000-0000-0000-000000000000
RULE,2b0dc83a-f4b7-466c-ab39-3cb6672ba84e,,6.2.4,Subject to the prior approval of the Match Director~ a competitor may enter a match in more than one Division. However~ the competitor may compete for score in only one Division~ and that must be the first attempt in all cases. Any subsequent attempts in another Division will not be entered into match results nor count for match recognition and awards.,c365ae18-1743-4b13-8cc5-5853e8f6d0a0,00000000-0000-0000-0000-000000000000
RULE,a9ef8f2f-f960-4100-aa77-b8ef56acf03c,,6.2.5,Where a Division is unavailable or deleted~ or where a competitor fails to declare a specific Division prior to the commencement of a match~ the competitor will be placed in the Division which~ in the opinion of the Range Master~ most closely identifies with the competitor's equipment. If~ in the opinion of the Range Master~ no suitable Division is available~ the competitor will shoot the match for no score.,c365ae18-1743-4b13-8cc5-5853e8f6d0a0,00000000-0000-0000-0000-000000000000
RULE,7121bbe8-adfe-4ea8-9fb8-106db4a4e074,,6.2.6,A disqualification incurred by a competitor~ at any time during a match~ will prevent the competitor from further participation in the match including any subsequent attempts in another Division. However~ this is not retroactive. Any previous and complete scores from another Division will be entered into match results for recognition and awards in that Division.,c365ae18-1743-4b13-8cc5-5853e8f6d0a0,00000000-0000-0000-0000-000000000000
RULE,8b5b29a9-8696-44fb-8a89-8d6fa964e573,,6.2.7,Recognition of a competitor in a specific Division will not preclude further recognition in a Category or from inclusion as member of a Regional or other team.,c365ae18-1743-4b13-8cc5-5853e8f6d0a0,00000000-0000-0000-0000-000000000000
RULE,d6b72359-bce8-41a8-aaa6-18cbfa23ba28, (ActionAir | MiniRifle only),6.3.1,IPSC matches may include different Categories within each Division to recognize different groups of competitors. A competitor may declare only one Category for a match.,ee375824-d95a-4a09-bc3a-4e6777e5f840,00000000-0000-0000-0000-000000000000
RULE,a167450e-af1e-4694-a372-6cf937058dfb,,6.3.2,Failure to meet the requirements of the declared Category or failure to declare a Category prior to the start of the match will result in exclusion from that Category. Details of currently approved Categories and related requirements are listed in Appendix A2.,ee375824-d95a-4a09-bc3a-4e6777e5f840,00000000-0000-0000-0000-000000000000
RULE,01857d48-7b2f-4430-afca-833fc79ab44a, (Handgun | Shotgun | Rifle | PCC only),6.3.1,IPSC matches may include different Categories within each Division to recognize different groups of competitors. A competitor may declare only one Category for a match or tournament.,ee375824-d95a-4a09-bc3a-4e6777e5f840,00000000-0000-0000-0000-000000000000
RULE,cf38b645-0a50-4a37-9372-7fe29195ef0e,,6.4.1,Subject to the availability of allocated slots~ only one official Regional team in each Division and/or Division/Category may be selected on merit by each Region for IPSC Level IV or higher matches. Approved Category teams are specified by the IPSC Assembly (see Appendix A2).,8912e904-e2ba-4fae-a5d5-d9c62a38ba6f,00000000-0000-0000-0000-000000000000
RULE,74d6c888-c00d-42e9-a55f-8824d02ab582, (ActionAir | Shotgun | Rifle | MiniRifle | PCC only),6.4.2,An individual competitor�s scores can only be used exclusively for a single team in a match~ and each team must be comprised of competitors in the same Division.,8912e904-e2ba-4fae-a5d5-d9c62a38ba6f,00000000-0000-0000-0000-000000000000
RULE,fe79d5f5-a9cc-40b3-8764-685362bfbb93,,6.4.3,Teams consist of a maximum of 4 members. However~ only the final scores of the 3 highest scoring team members will be used to calculate team results.,8912e904-e2ba-4fae-a5d5-d9c62a38ba6f,00000000-0000-0000-0000-000000000000
RULE,1c490344-e761-40c5-9731-8c0b76e656e4,,6.4.4,If a member of a team retires from the match for any reason before completing all of the stages~ scores attained by that competitor will continue to stand towards the team score. However~ the affected team is not entitled to replace the retired team member.,8912e904-e2ba-4fae-a5d5-d9c62a38ba6f,00000000-0000-0000-0000-000000000000
RULE,394f29bd-6892-4eaa-a611-c2aa2c340428,,6.4.5,A team member who is unable to commence a match may be replaced prior to commencement by another competitor~ subject to the approval of the Match Director.,8912e904-e2ba-4fae-a5d5-d9c62a38ba6f,00000000-0000-0000-0000-000000000000
RULE,ebb904db-4310-4dc8-a440-5f32c592ce3d, (ActionAir | Shotgun | Rifle | MiniRifle only),6.4.6,If a member of a team is disqualified from a match~ the disqualified member�s scores will revert to zero for all stages. Teams will not be entitled to replace a disqualified team member.,8912e904-e2ba-4fae-a5d5-d9c62a38ba6f,00000000-0000-0000-0000-000000000000
RULE,caf51b1f-c9ba-4b40-968b-19c19585ecc1, (Handgun only),6.4.2,An individual competitor's scores can only be used exclusively for a single team in a match~ and each team must be comprised of competitors in the same Division.,8912e904-e2ba-4fae-a5d5-d9c62a38ba6f,00000000-0000-0000-0000-000000000000
RULE,d6b1fd95-c51d-42a4-83cf-26a142db5214, (Handgun only),6.4.6,If a member of a team is disqualified from a match~ the disqualified member's scores will revert to zero for all stages. Teams will not be entitled to replace a disqualified team member.,8912e904-e2ba-4fae-a5d5-d9c62a38ba6f,00000000-0000-0000-0000-000000000000
RULE,b2fee987-9055-4e50-b1f0-069ad6aa1295, (PCC only),6.4.6,If a member of a team is disqualified from a match~ the disqualified member�s scores will revert to zero for,8912e904-e2ba-4fae-a5d5-d9c62a38ba6f,00000000-0000-0000-0000-000000000000
RULE,ba06180a-9590-452e-8c0c-ee489f209288,,6.5.1,All competitors and Match Officials must be individual members of the IPSC Region in which they normally reside. Residency is defined as the Region where the individual is ordinarily domiciled for a minimum of 183 days of the twelve months immediately preceding the month in which the match begins. Ordinarily domiciled condition is a physical presence test and does not relate to citizenship or to any address of convenience. The 183 days need not be consecutive or the most recent 183 days of the twelve month period.,e67886cd-3a2a-4472-9222-7f8303b47a8f,00000000-0000-0000-0000-000000000000
RULE,52239501-984e-4544-8e65-6f612f3fab5b,,6.5.2,A competitor and/or team member may represent only the IPSC Region in which they reside~ except as follows:,e67886cd-3a2a-4472-9222-7f8303b47a8f,00000000-0000-0000-0000-000000000000
RULE,f439b137-9914-4074-8e4a-054a374533d8, (ActionAir only),6.5.3,At Regional and Continental Championships~ only competitors who satisfy the residency requirements stated in Rule 6.5.1 are entitled to be recognized as the Regional or Continental Champion~ by Division and/or by Division/Category~ as the case may be. However~ when determining Regional or Continental Champions~ match results of competitors from outside the applicable Region or Continent must not be deleted from the match results~ which must remain wholly intact. For example: <br><br>Region 1 Open Division Championships <br><br>100% Competitor A -Region 2 (declared as Overall Match and Division Champion) 99% Competitor B -Region 6 95% Competitor C -Region 1 (declared as Region 1 Champion),e67886cd-3a2a-4472-9222-7f8303b47a8f,00000000-0000-0000-0000-000000000000
RULE,d1a3d530-8fc6-4e6f-896d-db697b32e542, (Handgun | Shotgun | Rifle | MiniRifle | PCC only),6.5.3,At Regional and Continental Championships~ only competitors who satisfy the residency requirements stated in Rule 6.5.1 are entitled to be recognized as the Regional or Continental Champion~ by Division and/or by Division/Category~ as the case may be. However~ when determining Regional or Continental Champions~ match results of competitors from outside the applicable Region or Continent must not be deleted from the match results~ which must remain wholly intact. For example:,e67886cd-3a2a-4472-9222-7f8303b47a8f,00000000-0000-0000-0000-000000000000
RULE,e8be6d52-e499-4a4d-9eea-ebc683b8c649,,6.6.1,Competitors must compete for score according to the published match and squadding schedule. A competitor who is not present at the scheduled time and date for any stage may not attempt that stage without the prior approval of the Match Director~ failing which the competitor's score for that stage will be zero.,802cc4a2-7d88-450c-9171-ac3c791af91a,00000000-0000-0000-0000-000000000000
RULE,ebcfbd4f-cf0e-4dbf-af09-ae7bda05db4a, (ActionAir | Rifle | MiniRifle | PCC only),6.6.2,Only Match Officials (approved by the Range Master)~ match sponsors~ IPSC Patrons and dignitaries (approved by the Match Director)~ who are members in good standing of their Region of residence~ and IPSC Officers (as defined in Section 6.1 of the IPSC Constitution) may compete in a pre-match. Scores attained in the pre-match will be included in the overall match results provided dates of the pre-match are published in advance in the official match schedule. Competitors in the main match must not be restricted from viewing the pre-match.,802cc4a2-7d88-450c-9171-ac3c791af91a,00000000-0000-0000-0000-000000000000
RULE,255aedea-4c4d-4b04-8d8b-1fa82649d2e3, (ActionAir | MiniRifle only),6.6.3,A match or league will be deemed to have started on the first day that competitors (including those specified above) shoot for score and will be deemed to have ended when the results have been declared final by the Match Director.,802cc4a2-7d88-450c-9171-ac3c791af91a,00000000-0000-0000-0000-000000000000
RULE,cf69430e-7f30-4219-830f-effece518a94, (Handgun only),6.6.2,Only Match Officials (approved by the Range Master)~ match sponsors~ IPSC Patrons and dignitaries (approved by the Match Director)~ who are members in good standing of their Region of residence~ and IPSC Officers (as defined in Section 6.1 of the IPSC Constitution)~ may compete in a pre-match. Scores attained in the pre-match will be included in the overall match results provided dates of the pre-match are published in advance in the official match schedule. Competitors in the main match must not be restricted from viewing the pre-match.,802cc4a2-7d88-450c-9171-ac3c791af91a,00000000-0000-0000-0000-000000000000
RULE,c4202b9b-d340-43d7-95ed-8af8a7676674, (Handgun | Shotgun | PCC only),6.6.3,A match~ tournament or league will be deemed to have started on the first day that competitors (including those specified above) shoot for score and will be deemed to have ended when the results have been declared final by the Match Director.,802cc4a2-7d88-450c-9171-ac3c791af91a,00000000-0000-0000-0000-000000000000
RULE,11087de5-3507-4df9-93a3-512fa91b0a47, (Shotgun only),6.6.2,Only Match Officials (approved by the Range Master)~ match sponsors~ IPSC Patrons and dignitaries (approved by the Match Director)~ who are members in good standing of their Region of residence~ and IPSC Officers (as defined in Section 6.1 of the IPSC Constitution) may compete in a pre-match. Scores attained in the pre-match~ will be included in the overall match results provided dates of the pre-match are published in advance in the official match schedule. Competitors in the main match must not be restricted from viewing the pre-match.,802cc4a2-7d88-450c-9171-ac3c791af91a,00000000-0000-0000-0000-000000000000
RULE,f3127dff-d9f4-4e3a-9342-b640f9467deb, (Rifle only),6.6.3,A match~ tournament or league will be deemed to have started on the first day that competitors (including,802cc4a2-7d88-450c-9171-ac3c791af91a,00000000-0000-0000-0000-000000000000
RULE,90598e68-c363-423d-929b-30da6ffa4187,,6.7.1,The IPSC Executive Council may coordinate and publish dedicated regulations and procedures in order to manage and administer an International Classification System.,70153230-4514-4c24-9518-ad7a65b62d99,00000000-0000-0000-0000-000000000000
RULE,09d1b3b8-b54d-4baa-949d-2cd72900c520,,6.7.2,Competitors seeking an international classification must use the approved courses of fire available from the IPSC website.,70153230-4514-4c24-9518-ad7a65b62d99,00000000-0000-0000-0000-000000000000
RULE,ae314e82-a711-48b8-8d6d-e6049245b73a, (ActionAir only),7.1.1,("RO") � Issues range commands~ oversees competitor compliance with the written stage briefing and closely monitors safe competitor action. He also declares the time~ scores and penalties achieved by each competitor and verifies that these are correctly recorded on the competitor's score sheet (under the authority of a Chief Range Officer and Range Master).,45f22dda-a342-406e-a0b2-96775e899f81,00000000-0000-0000-0000-000000000000
RULE,1b81b9a3-69a5-446c-b6a3-1089647030c6, (ActionAir only),7.1.2,("CRO") � Is the primary authority over all persons and activities in the courses of fire under his control~ and oversees the fair~ correct and consistent application of these rules (under the direct authority of the Range Master).,45f22dda-a342-406e-a0b2-96775e899f81,00000000-0000-0000-0000-000000000000
RULE,f8de5dd4-8bf3-4fd1-8c4e-5996acfaafa4, (ActionAir only),7.1.3,("SO") � Supervises the stats room team~ which collects~ sorts~ verifies~ tabulates and retains all score sheets and ultimately produces provisional and final results (under the direct authority of the Range Master).,45f22dda-a342-406e-a0b2-96775e899f81,00000000-0000-0000-0000-000000000000
RULE,a507651b-bd95-420d-b43c-19b624a9ba24, (ActionAir only),7.1.4,("QM") � Distributes~ repairs and maintains all range equipment (e.g. targets~ patches~ paint~ props etc.)~ other range needs (e.g. timers~ batteries~ staplers~ staples~ clipboards etc.) and replenishes Range Officer refreshments (under the direct authority of the Range Master).,45f22dda-a342-406e-a0b2-96775e899f81,00000000-0000-0000-0000-000000000000
RULE,978bacc9-8ac7-492e-8f09-397f21e90d6d, (ActionAir only),7.1.5,("RM") � Has overall authority over all persons and activities within the entire range~ including range safety~ the operation of all courses of fire and the application of these rules. All disqualifications and appeals to arbitration must be brought to his attention. The Range Master is usually appointed by and works with the Match Director. However~ in respect of IPSC sanctioned Level IV or higher matches~ the appointment of the Range Master is subject to the prior written approval of the IPSC Executive Council.,45f22dda-a342-406e-a0b2-96775e899f81,00000000-0000-0000-0000-000000000000
RULE,a69a3278-7828-476e-8673-70dc97f9f2e5, (ActionAir only),7.1.6,("MD") � Handles overall match administration including squadding~ scheduling~ range construction~ the coordination of all support staff and the provision of services. His authority and decisions will prevail with regard to all matters except in respect of matters in these rules which are the domain of the Range Master. The Match Director is appointed by the host organization and works with the Range Master.,45f22dda-a342-406e-a0b2-96775e899f81,00000000-0000-0000-0000-000000000000
RULE,25dc99fd-0e93-43d4-b398-1357a9a7bdfd, (Handgun | Shotgun | Rifle | MiniRifle | PCC only),7.1.1,Range Officer ("RO") � Issues range commands~ oversees competitor compliance with the written stage briefing and closely monitors safe competitor action. He also declares the time~ scores and penalties achieved by each competitor and verifies that these are correctly recorded on the competitor's score sheet (under the authority of a Chief Range Officer and Range Master).,45f22dda-a342-406e-a0b2-96775e899f81,00000000-0000-0000-0000-000000000000
RULE,b75bca60-f449-423a-afb5-c598ea478c71, (Handgun | Shotgun | Rifle | MiniRifle | PCC only),7.1.2,Chief Range Officer ("CRO") � Is the primary authority over all persons and activities in the courses of fire under his control~ and oversees the fair~ correct and consistent application of these rules (under the direct authority of the Range Master).,45f22dda-a342-406e-a0b2-96775e899f81,00000000-0000-0000-0000-000000000000
RULE,1ad5943d-5f99-46fb-b9a6-5e4d080a62bf, (Handgun | Shotgun | Rifle | MiniRifle | PCC only),7.1.3,Stats Officer ("SO") � Supervises the stats room team~ which collects~ sorts~ verifies~ tabulates and retains all score sheets and ultimately produces provisional and final results (under the direct authority of the Range Master).,45f22dda-a342-406e-a0b2-96775e899f81,00000000-0000-0000-0000-000000000000
RULE,460a51cb-71bc-43a6-822d-b41124a3530d, (Handgun | Shotgun | Rifle | MiniRifle | PCC only),7.1.4,Quartermaster ("QM") � Distributes~ repairs and maintains all range equipment (e.g. targets~ patches~ paint~ props etc.)~ other range needs (e.g. timers~ batteries~ staplers~ staples~ clipboards etc.) and replenishes Range Officer refreshments (under the direct authority of the Range Master).,45f22dda-a342-406e-a0b2-96775e899f81,00000000-0000-0000-0000-000000000000
RULE,237a7ee6-6226-49be-96f1-6b3ca8b48227, (Handgun | Shotgun | Rifle | MiniRifle | PCC only),7.1.5,Range Master ("RM") � Has overall authority over all persons and activities within the entire range~ including range safety~ the operation of all courses of fire and the application of these rules. All disqualifications and appeals to arbitration must be brought to his attention. The Range Master is usually appointed by and works with the Match Director. However~ in respect of IPSC sanctioned Level IV or higher matches~ the appointment of the Range Master is subject to the prior written approval of the IPSC Executive Council.,45f22dda-a342-406e-a0b2-96775e899f81,00000000-0000-0000-0000-000000000000
RULE,33c9eaa7-20e3-45a4-b39b-0bfd3d213d7a, (Handgun | Shotgun | Rifle | MiniRifle | PCC only),7.1.6,Match Director ("MD") � Handles overall match administration including squadding~ scheduling~ range construction~ the coordination of all support staff and the provision of services. His authority and decisions will prevail with regard to all matters except in respect of matters in these rules which are the domain of the Range Master. The Match Director is appointed by the host organization and works with the Range Master.,45f22dda-a342-406e-a0b2-96775e899f81,00000000-0000-0000-0000-000000000000
RULE,6dd8aa2a-9d2b-4e88-8b8c-7eb8a9526c27,,7.2.1,The Range Master has authority over all Match Officials other than the Match Director (except when the Match Director is actually participating as a competitor at the match)~ and is responsible for decisions in matters concerning conduct and discipline.,7f02b593-e14f-4258-bee2-60ea826ee7de,00000000-0000-0000-0000-000000000000
RULE,74ce58a0-42f6-479c-bcec-e3295e6d2bf2,,7.2.2,In the event that a Match Official is disciplined~ the Range Master must send a report of the incident and details of the disciplinary action to the Match Official's Regional Director~ the Regional Director of the Region hosting the match~ and to the President of the International Range Officers Association (IROA).,7f02b593-e14f-4258-bee2-60ea826ee7de,00000000-0000-0000-0000-000000000000
RULE,c0f45c63-ff3d-42a4-b6bc-1075f06c7cd1,,7.2.3,A Match Official who is disqualified from a match for a safety infraction while competing will continue to be eligible to serve as a Match Official for the match. The Range Master will make any decision related to an official's participation.,7f02b593-e14f-4258-bee2-60ea826ee7de,00000000-0000-0000-0000-000000000000
RULE,0c2858db-b7b2-4e71-86fd-a18a91b46afa,,7.3.1,Match organizers must~ prior to commencement of a match~ appoint a Match Director and a Range Master to carry out the duties detailed in these rules. The nominated Range Master should preferably be the most competent and experienced certified Match Official present (also see Rule 7.1.5). For Level I and II matches a single person may be appointed to be both the Match Director and the Range Master.,fdb82d1c-cb4b-4476-898d-1661b3f7ee4f,00000000-0000-0000-0000-000000000000
RULE,47746eb4-d0db-48e1-8741-cd465dde2aeb,,7.3.2,References in these rules to Match Officials (e.g. "Range Officer"~ "Range Master" etc.)~ mean personnel who have been officially appointed by match organizers to actually serve in an official capacity at the match. Persons who are certified Match Officials~ but who are actually participating in the match as regular competitors~ have no standing or authority as Match Officials for that match. Such persons should therefore not participate in the match wearing garments bearing Match Official insignia.,fdb82d1c-cb4b-4476-898d-1661b3f7ee4f,00000000-0000-0000-0000-000000000000
RULE,d4eef701-e942-4500-a57c-235e59fbce77,,7.3.3,A person acting as a Match Official is prohibited from having a holstered firearm while directly accompanying and timing a competitor during his attempt at a COF. Violations are subject to Rule 7.2.2.,fdb82d1c-cb4b-4476-898d-1661b3f7ee4f,00000000-0000-0000-0000-000000000000
RULE,95337fa6-94f7-4720-be86-6ca719214d51, (ActionAir only),8.1.1,Not applicable.,6b03e7d0-4abf-43d2-ba1d-e21ff99e1a8e,00000000-0000-0000-0000-000000000000
RULE,3d7187fc-d198-4482-9a78-9bc17b86cd65, (ActionAir | Handgun only),8.1.2,Self-loading Pistols:,6b03e7d0-4abf-43d2-ba1d-e21ff99e1a8e,00000000-0000-0000-0000-000000000000
RULE,a1b08b5b-3668-45d1-9b9a-08a7c9cb857e, (ActionAir only),8.1.3,If a course of fire requires that a self-loading pistol be prepared with an empty chamber~ the slide must be fully forward and the hammer~ if fitted~ must be fully down or decocked. After the Start Signal~ the first projectile must be chambered by manipulation of the slide~ not by trigger action. Violations will incur one procedural penalty.,6b03e7d0-4abf-43d2-ba1d-e21ff99e1a8e,00000000-0000-0000-0000-000000000000
RULE,9a6c49e5-67bb-497b-8a4f-8f54b2a64487, (ActionAir only),8.1.4,Unless complying with a Division requirement (see Appendix D)~ a competitor must not be restricted on the number of projectiles to be loaded or reloaded in a handgun. Written stage briefings may only stipulate when the firearm is to be loaded or when mandatory reloads are required~ when permitted under Rule 1.1.5.2.,6b03e7d0-4abf-43d2-ba1d-e21ff99e1a8e,00000000-0000-0000-0000-000000000000
RULE,421d2573-e351-4559-99cd-eb42f1d297d6, (ActionAir | Handgun only),8.1.5,In respect of handguns used at IPSC matches~ the following definitions apply:,6b03e7d0-4abf-43d2-ba1d-e21ff99e1a8e,00000000-0000-0000-0000-000000000000
RULE,cdf104bc-26c6-42b8-abe3-1b107d7275be, (Handgun only),8.1.1,Revolvers:,6b03e7d0-4abf-43d2-ba1d-e21ff99e1a8e,00000000-0000-0000-0000-000000000000
RULE,47a10a5e-f04a-4d1f-b5dc-8b67d278be98, (Handgun only),8.1.3,If a course of fire requires that a self-loading pistol be prepared with an empty chamber~ the slide must be fully forward and the hammer~ if fitted~ must be fully down or decocked (also see Rule 8.1.1.2).,6b03e7d0-4abf-43d2-ba1d-e21ff99e1a8e,00000000-0000-0000-0000-000000000000
RULE,482ea013-fa33-4c2f-8638-880187b1d4ae, (Handgun only),8.1.4,Unless complying with a Division requirement (see Appendix D)~ a competitor must not be restricted on the number of rounds to be loaded or reloaded in a handgun. Written stage briefings may only stipulate when the firearm is to be loaded or when mandatory reloads are required~ when permitted under Rule 1.1.5.2.,6b03e7d0-4abf-43d2-ba1d-e21ff99e1a8e,00000000-0000-0000-0000-000000000000
RULE,d9dd4152-beb0-4cf7-a04f-07e8e7ae2f65, (ActionAir | Handgun only),8.2.1,The handgun is prepared as specified in the written stage briefing~ and is in compliance with the requirements of the relevant Division.,47b0cbbf-dbe7-483c-895c-d00f4802ad7b,00000000-0000-0000-0000-000000000000
RULE,301e58ce-f9b8-46b4-9f18-881949992b27, (ActionAir | Handgun only),8.2.2,The competitor assumes the start position as specified in the written stage briefing. Unless otherwise specified~ the competitor must stand erect~ facing downrange~ with the handgun loaded and holstered~ and arms hanging naturally by the sides (see Appendix E2). A competitor who attempts or completes a course of fire where an incorrect start position was used may be required by a Range Officer to reshoot the course of fire.,47b0cbbf-dbe7-483c-895c-d00f4802ad7b,00000000-0000-0000-0000-000000000000
RULE,3f9b14b9-2298-4515-9b1d-620737e8ea20, (ActionAir only),8.2.3,A course of fire must never require or allow a competitor to touch or hold a handgun~ loading device or projectile after the "Standby" command and before the Start Signal (except for unavoidable touching with the lower arms).,47b0cbbf-dbe7-483c-895c-d00f4802ad7b,00000000-0000-0000-0000-000000000000
RULE,6c1e9458-fb6f-4473-9e74-abdcd5b89920, (ActionAir | Handgun only),8.2.4,A course of fire must never require the competitor to draw a handgun from the holster with the weak hand.,47b0cbbf-dbe7-483c-895c-d00f4802ad7b,00000000-0000-0000-0000-000000000000
RULE,a935b2ef-a5d9-471a-bfbb-eb6a4282353d, (ActionAir | Handgun only),8.2.5,A course of fire must never require the competitor to re-holster a handgun after the Start Signal. However~ a competitor may re-holster provided this is accomplished safely~ and the handgun is either unloaded or in a ready condition stated in Section 8.1. Violations will be subject to disqualification (see Rule 10.5.11).,47b0cbbf-dbe7-483c-895c-d00f4802ad7b,00000000-0000-0000-0000-000000000000
RULE,aa9a8583-cf37-4489-96e6-eeee7c9bd946, (Handgun only),8.2.3,A course of fire must never require or allow a competitor to touch or hold a handgun~ loading device or ammunition after the "Standby" command and before the Start Signal (except for unavoidable touching with the lower arms).,47b0cbbf-dbe7-483c-895c-d00f4802ad7b,00000000-0000-0000-0000-000000000000
RULE,b0bd4c15-ab66-4d8c-b445-adc77aa43140, (Shotgun only),8.2.1,The firearm is prepared~ made safe and held or placed as specified in the written stage briefing~ and is in compliance with the requirements of the relevant Division.,47b0cbbf-dbe7-483c-895c-d00f4802ad7b,00000000-0000-0000-0000-000000000000
RULE,5190d9e2-512e-4b2b-b000-23b9d18cd880, (Shotgun only),8.2.2,The competitor's stance prior to the commencement of the course of fire will be as specified in the written stage briefing. See below:,47b0cbbf-dbe7-483c-895c-d00f4802ad7b,00000000-0000-0000-0000-000000000000
RULE,40851716-9e7d-4a07-b661-44b742f7a304, (Shotgun only),8.2.3,A course of fire must never require or allow a competitor to touch or hold a magazine~ loading device or ammunition~ other than a magazine fitted to the shotgun~ after the "Standby" command and before the Start Signal (except for unavoidable touching with the lower arms).,47b0cbbf-dbe7-483c-895c-d00f4802ad7b,00000000-0000-0000-0000-000000000000
RULE,4fadd753-f0b1-4655-ba38-2b003fe98983, (Rifle | MiniRifle only),8.2.1,The rifle is prepared~ made safe and held or placed as specified in the written stage briefing.,47b0cbbf-dbe7-483c-895c-d00f4802ad7b,00000000-0000-0000-0000-000000000000
RULE,c3a37acd-141c-4fdf-ad62-d6b4d972ac0b, (Rifle | MiniRifle only),8.2.2,Unless specified in the written stage briefing~ the competitor�s stance prior to the commencement of the course of fire must be standing erect~ with the rifle in the ready condition~ held in both hands~ stock touching the competitor at hip level~ barrel parallel to the ground~ trigger guard downwards~ muzzle pointing downrange and with the fingers outside the trigger guard. This applies to all rifle ready conditions~ unless otherwise specified in the written stage briefing.,47b0cbbf-dbe7-483c-895c-d00f4802ad7b,00000000-0000-0000-0000-000000000000
RULE,f41eddc7-8722-4f40-8dfc-cde86bd9efe5, (Rifle | MiniRifle only),8.2.3,A course of fire must never require or allow a competitor to touch or hold a magazine~ loading device or ammunition~ other than a magazine fitted to the rifle~ after the "Standby" command and before the Start Signal (except for unavoidable touching with the lower arms).,47b0cbbf-dbe7-483c-895c-d00f4802ad7b,00000000-0000-0000-0000-000000000000
RULE,da4b0b3b-90da-470f-a445-dc1fb86aaa40, (PCC only),8.2.1,The firearm is prepared~ made safe and held or placed as specified in the written stage briefing.,47b0cbbf-dbe7-483c-895c-d00f4802ad7b,00000000-0000-0000-0000-000000000000
RULE,bca4f90b-b50e-40a1-870d-95cef220adcc, (PCC only),8.2.2,Unless specified in the written stage briefing~ the competitor�s stance prior to the commencement of the course of fire must be standing erect~ with the firearm in the ready condition~ held in both hands~ stock touching the competitor at hip level~ barrel parallel to the ground~ trigger guard downwards~ muzzle pointing downrange with the fingers outside the trigger guard. This applies to all firearm ready conditions~ unless otherwise specified in the written stage briefing.,47b0cbbf-dbe7-483c-895c-d00f4802ad7b,00000000-0000-0000-0000-000000000000
RULE,87549844-8878-4be8-8cc6-bfd07aba747c, (PCC only),8.2.3,A course of fire must never require or allow a competitor to touch or hold a magazine~ loading device or ammunition~ other than a magazine fitted to the firearm~ after the "Standby" command and before the Start Signal (except for unavoidable touching with the lower arms).,47b0cbbf-dbe7-483c-895c-d00f4802ad7b,00000000-0000-0000-0000-000000000000
RULE,1717ec26-57d5-4776-84f3-cf4db22bd284, (ActionAir only),8.3.1,"Load And Make Ready" (or "Make Ready" for starts with an unloaded firearm) � This command signifies the start of "the Course of Fire". Under the direct supervision of the Range Officer the competitor must face downrange~ or in a safe direction as specified by the Range Officer~ fit eye protection~ and prepare the firearm in accordance with the written stage briefing. The competitor must then assume the required start position. At this point~ the Range Officer will proceed.,8394189e-19fb-4c3d-9322-25f7ddbdb44e,00000000-0000-0000-0000-000000000000
