DISCIPLINE,cdb32d12-3aa3-48cf-8c61-35e79ed20813,PCC
CHAPTER,c86d2fe7-2dfb-4565-807d-0574efbfc37f,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,49e6de35-6d75-49fa-afd9-4c18e4f2172c,Range and Course Construction,2,The following general regulations of course construction list the criteria~ responsibilities and restrictions applicable to courses of fire in IPSC matches. Course Designers~ host organizations and officials are governed by these regulations. ,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,a79c0382-d014-4ba4-8f21-dea979f9e067,Course Information,3,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,9071bf64-3560-48d5-a8f6-ce0831e88afc,Range Equipment,4,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,5e0cda95-8451-400b-99f0-5cd03979ce93,Competitor Equipment,5,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,59271ca0-0719-4d94-9252-28c5b053bacb,Match Structure,6,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,a60f3827-c3c8-4018-8059-e45221c0a1a5,Match Management,7,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,5b702d6a-0ad4-4c45-8c35-8dde21080dd6,The Course of Fire,8,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,5231d906-bc73-452c-a752-0a5a7f168391,Scoring,9,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,e436aa69-4e8b-4c95-996c-2b13d2f07730,Penalties and Disqualifications,10,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,904a9cb0-c18c-467d-9f25-e6e1c11239de,Arbitration and Interpretation of Rules,11,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,5de1ba9c-0a14-4e2f-a308-b9ed1af4a54a,Miscellaneous Matters,12,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,b51f7602-596f-4eeb-9570-4879d015aa48,,5.3.1,The use of camouflage or other similar types of military or police garments other than by competitors who are law enforcement or military personnel is discouraged. The Match Director will be the final authority in respect of what garments must not be worn by competitors.,a07c2d3b-82b0-44e0-9bad-0243542aa63a,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,cdea0391-3e11-475a-b358-3488ace3d653,,5.4.1,All persons are warned that the correct use of adequate eye and ear protection is in their own interest and of paramount importance to prevent injury to vision and hearing. It is strongly recommended that eye and ear protection be worn at all times by all persons while on the range premises.,cf2e8743-17d1-42b5-9b56-cab1240f16f7,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,caeb21c5-e0fc-45ed-a0ba-2c07dd496cbe,,5.4.2,Host organizations may require the use of such protection by all persons~ as a condition of attendance and while present on the range premises. If so~ Match Officials must make every reasonable effort to ensure that all persons wear adequate protection.,cf2e8743-17d1-42b5-9b56-cab1240f16f7,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,190bc7eb-7eaa-4f59-a2bb-e5a595b3d4c4,,5.4.3,If a Range Officer notices that a competitor has lost or displaced their eye or ear protection during a course of fire~ or has commenced a course of fire without them~ the Range Officer must immediately stop the competitor who will be required to reshoot the course of fire after the protective devices have been restored.,cf2e8743-17d1-42b5-9b56-cab1240f16f7,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,30708280-d548-4510-9ab9-34d984997d16,,5.4.4,A competitor who inadvertently loses eye or ear protection during a course of fire~ or commences a course of fire without them~ is entitled to stop~ point their firearm in a safe direction and indicate the problem to the Range Officer~ in which case the provisions of the previous rule will apply.,cf2e8743-17d1-42b5-9b56-cab1240f16f7,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,43008ec7-e16b-4b83-9caa-314727eb239a,,5.4.5,Any attempt to gain a reshoot or advantage by removing eye and/or ear protection during a course of fire will be considered unsportsmanlike conduct (see Rule 10.6.2).,cf2e8743-17d1-42b5-9b56-cab1240f16f7,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,b303fa52-ce4f-4952-aaf4-595e6a9f0df7,,5.4.6,If a Range Officer deems that a competitor about to make an attempt at a course of fire is wearing inadequate eye or ear protection~ the Range Officer may order the competitor to rectify the situation before allowing the competitor to continue. The Range Master is the final authority on this matter.,cf2e8743-17d1-42b5-9b56-cab1240f16f7,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,6350fb39-819c-4043-adbb-c41f83666003,,5.5.1,Competitors at an IPSC match are solely and personally responsible for the safety of all and any ammunition~ which they bring to the match. Neither IPSC nor any IPSC Officers~ nor any organization affiliated to IPSC~ nor the officers of any organization affiliated to IPSC accepts any responsibility whatsoever in this regard~ nor in respect of any loss~ damage~ accident~ injury or death suffered by any person or entity as a result of the lawful or unlawful use of any such ammunition.,2e092429-16c6-4ee4-b9b6-ab40966e8d62,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,c1a4c7fb-c825-403c-88c5-77b8e124c289,,5.5.2,All competitor ammunition and their respective magazines and speed loaders must comply with the provisions of the relevant Division (see Appendix D).,2e092429-16c6-4ee4-b9b6-ab40966e8d62,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,e518c9c3-66cd-4e56-99ba-57d1adef77fd,,5.5.3,Spare magazines~ speed loaders or ammunition dropped or discarded by a competitor after the Start Signal may be retrieved. However~ their retrieval is~ at all times~ subject to all safety rules.,2e092429-16c6-4ee4-b9b6-ab40966e8d62,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,a32ab5e5-64cd-417a-ba32-cf7c6b2b0b9b,,5.5.4,Metal piercing~ incendiary and/or tracer ammunition is prohibited at IPSC matches (see Rule 10.5.15). "Penetrator" ammunition (e.g. with a penetrating core) can only be used if specifically permitted by the match organizers.,2e092429-16c6-4ee4-b9b6-ab40966e8d62,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,99dfb065-ebb4-4702-9039-9ef016f32adf,,5.5.5,Ammunition which discharges more than one bullet or other scoring projectile from a single round is prohibited (see Rule 10.5.15).,2e092429-16c6-4ee4-b9b6-ab40966e8d62,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,24c23586-f5cb-4bf1-8f09-c6e8dc2dded4,,5.5.6,Ammunition deemed unsafe by a Range Officer must be immediately withdrawn from the match (see Rule 10.5.15).,2e092429-16c6-4ee4-b9b6-ab40966e8d62,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,158ef88e-2e95-47f1-a57f-9f825c44a809,,5.6.1,The power factors for each Division are stipulated in Appendix D. One or more official match chronographs must be used to assist in the determination of the power factor of each competitor's ammunition. In the absence of chronographs~ the power factor declared by a competitor cannot be challenged.,cf829a96-9663-4624-a5b9-d177c806b3ce,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,26c0bb12-f93e-43f4-8c76-c0a01ab9b7b0,,5.6.2,The chronograph must be properly set up in accordance with the manufacturer's recommendations and verified each day by Match Officials in the following manner:,cf829a96-9663-4624-a5b9-d177c806b3ce,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,6cd9ed9e-c476-4878-afec-c337ea49aa0f,,5.6.3,Competitor Ammunition Testing Procedure,cf829a96-9663-4624-a5b9-d177c806b3ce,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,c1ea155b-f444-44f7-b18a-d90d4e9decfa,,5.7.1,If a competitor's firearm malfunctions after the Start Signal~ the competitor may safely attempt to correct the problem and continue the course of fire. During such corrective action~ the competitor must keep the muzzle of the firearm pointing safely downrange at all times. The competitor must not use rods or other tools to verify or correct the malfunction. Violations will result in a zero score for the stage.,94bc500d-c528-483c-8763-834eaf4d7df1,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,1e39e789-dfc6-4cd5-9066-2633335f5238,,5.7.2,While rectifying a malfunction that requires the competitor to clearly move the firearm away from aiming at a target~ the competitor's fingers must be clearly visible outside the trigger guard (see Rule 10.5.8).,94bc500d-c528-483c-8763-834eaf4d7df1,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,1e98981a-b7a2-47c2-9817-abe121102196,,5.7.3,In the event that a firearm malfunction cannot be corrected by the competitor within 2 minutes~ or if the competitor self-stops for any other reason~ he must point the firearm safely downrange and advise the Range Officer~ who will terminate the course of fire in the normal manner. The course of fire will be scored as shot including all applicable misses and penalties.,94bc500d-c528-483c-8763-834eaf4d7df1,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,f156a9ce-acc4-41c3-8434-20a694837ae6,,5.7.4,Under no circumstances is a competitor permitted to leave a course of fire in the possession of a loaded firearm (see Rule 10.5.13).,94bc500d-c528-483c-8763-834eaf4d7df1,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,bf30c958-89a9-4ca1-b5a2-6034fb4d2f0e,,5.7.5,Where the firearm has failed as above~ the competitor must not be permitted to reshoot the course of fire. This includes instances where a firearm is declared unserviceable or unsafe during a course of fire (see Rule 5.1.6).,94bc500d-c528-483c-8763-834eaf4d7df1,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,020eb2b8-c12b-4704-baf9-5ee5f03ec358,,5.7.6,In the event that a Range Officer terminates a course of fire due to a suspicion that a competitor has an unsafe firearm or unsafe ammunition (e.g. a "squib" load)~ the Range Officer will take whatever steps he deems necessary to return both the competitor and the range to a safe condition. The Range Officer will then inspect the firearm or ammunition and proceed as follows:,94bc500d-c528-483c-8763-834eaf4d7df1,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,8f137ff9-9028-490b-a0a3-5105bb0b620b,,5.8.1,When match organizers make official match ammunition available for purchase by competitors at a match~ the Match Director must~ both in advance in official match literature (and/or on the official match website)~ and by way of a sign certified by him and posted at a conspicuous place at the point of sale~ clearly identify which manufacturer/brand~ specific cartridges and load descriptions are deemed to be rated~ by Division~ as either Minor or Major power factor~ as the case may be. The subject rounds will usually be exempt from Rule 5.6.3 testing by chronograph~ subject to the following conditions:,a0742109-24a4-4e35-913d-f6506a18f8ba,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,2189e4b5-9ba0-4d47-9a9a-3d2a92b072b4,,5.8.2,Where possible~ match organizers (or their nominated vendor at the match) should make available a test firing bay~ supervised by a Range Officer~ where competitors can function test a small quantity of official match ammunition of the same batch through their firearm(s) prior to purchase.,a0742109-24a4-4e35-913d-f6506a18f8ba,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,612542a2-b7b8-4833-9fb5-371d9435e1ca,,6.1.1,Course Of Fire (also "course" and "COF") � A separately timed and scored IPSC shooting challenge~ conceptualized and constructed in accordance with IPSC principles of course design~ containing targets and challenges which each competitor must safely negotiate.,ad61e3ce-d900-4cfc-ab17-263ed46deaaf,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,bd0ecdc2-9a6b-41ac-8991-2c3bc7f82e2d,Stage,6.1.2,A portion of an IPSC match containing one course of fire and related supporting facilities~ amenities~ shelter and signage. A stage must use one type of firearm (e.g. handgun~ rifle or shotgun) exclusively.,ad61e3ce-d900-4cfc-ab17-263ed46deaaf,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,b5b3c101-6ae7-4e7f-8b20-1fd5153ea9d1,Match,6.1.3,Consists of a minimum of 3 stages where all stages use the same type of firearm. The total sum of individual stage results will be accumulated to declare a match winner.,ad61e3ce-d900-4cfc-ab17-263ed46deaaf,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,bfe12ac1-fe86-4ca8-b72e-8a6d7cf3c815,Tournament,6.1.4,A special match where individual stages are assigned to one particular type of firearm (e.g. Stages 1-4 Handgun~ Stages 5-8 Rifle~ Stages 9-12 Shotgun). The total sum of individual stage results will be accumulated to declare a tournament winner.,ad61e3ce-d900-4cfc-ab17-263ed46deaaf,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,40d36ef6-8e42-4b61-a765-6f611ca48caf,Grand Tournament,6.1.5,Consists of two or more firearm specific matches (e.g. a handgun match and a shotgun match~ or a handgun match~ a rifle match and a shotgun match). The individual match results achieved by a competitor in each component match will be used to declare an overall tournament winner~ in accordance with the IPSC Grand Tournament Rules.,ad61e3ce-d900-4cfc-ab17-263ed46deaaf,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,e06df3de-caf5-4c8c-98a1-4dd20bea47ab,League,6.1.6,Consists of two or more IPSC matches of a single firearm type held at different locations and on different dates. The total sum of match results attained by each competitor at component matches specified by the league organizers will be accumulated to determine a league winner.,ad61e3ce-d900-4cfc-ab17-263ed46deaaf,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,4b316904-1c7b-42c0-a916-69aec746147f,,6.1.7,A Region affiliated to IPSC cannot actively or passively sanction a shooting match of any type or format within the geographical boundaries of another Region without the advance and written approval of the Regional Director of the Region where the match is to be held. A Region in violation is subject to Section 5.9 of the IPSC Constitution.,ad61e3ce-d900-4cfc-ab17-263ed46deaaf,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,9267684a-ce4a-4db5-96e5-0e1e12c39f69,,6.2.1,IPSC Divisions recognize different firearms and equipment (see Appendix D). Each match must recognize at least one Division. When multiple Divisions are available in a match~ each Division must be scored separately and independently~ and match results must recognize a winner in each Division.,6939ec00-39cd-482f-b8b1-5901611a11ed,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,abf84a0b-630a-4633-aba0-dbf6e177c8c2,,6.2.2,In IPSC sanctioned matches~ the minimum number of competitors stipulated in Appendix A2 must compete in each Division for it to be recognized. If there are insufficient competitors in a Division~ the Match Director may allow that Division to stand without official IPSC recognition.,6939ec00-39cd-482f-b8b1-5901611a11ed,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,3940d971-9131-4c0d-8a67-6d636a36f0c4,,6.2.3,Prior to the commencement of a match~ each competitor must declare one Division for score~ and Match Officials should check competitor equipment compliance with the declared Division~ prior to the competitor making an attempt at any of the courses of fire. This is a service to assist competitors verify that their equipment~ in the configuration as presented~ is in compliance with their declared Division. However~ competitors always remain subject to the provisions of Rule 6.2.5.1.,6939ec00-39cd-482f-b8b1-5901611a11ed,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,c2ca968f-7eec-4d17-afbb-c258e9b6aec1,,6.2.4,Subject to the prior approval of the Match Director~ a competitor may enter a match in more than one Division. However~ the competitor may compete for score in only one Division~ and that must be the first attempt in all cases. Any subsequent attempts in another Division will not be entered into match results nor count for match recognition and awards.,6939ec00-39cd-482f-b8b1-5901611a11ed,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,f0062f0c-f6c5-4fc3-b23d-81572d656f07,,6.2.5,Where a Division is unavailable or deleted~ or where a competitor fails to declare a specific Division prior to the commencement of a match~ the competitor will be placed in the Division which~ in the opinion of the Range Master~ most closely identifies with the competitor's equipment. If~ in the opinion of the Range Master~ no suitable Division is available~ the competitor will shoot the match for no score.,6939ec00-39cd-482f-b8b1-5901611a11ed,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,ab61ffdb-2b91-4c4e-9f8d-b83fae56ce1e,,6.2.6,A disqualification incurred by a competitor~ at any time during a match~ will prevent the competitor from further participation in the match including any subsequent attempts in another Division. However~ this is not retroactive. Any previous and complete scores from another Division will be entered into match results for recognition and awards in that Division.,6939ec00-39cd-482f-b8b1-5901611a11ed,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,5fcbb08a-aa5d-4414-ba9e-17ecfa06795d,,6.2.7,Recognition of a competitor in a specific Division will not preclude further recognition in a Category or from inclusion as member of a Regional or other team.,6939ec00-39cd-482f-b8b1-5901611a11ed,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,bbb9fc94-942c-44f9-bee7-cccd643ecbba,,6.3.1,IPSC matches may include different Categories within each Division to recognize different groups of competitors. A competitor may declare only one Category for a match or tournament.,6027f0d2-305f-4fb5-b3da-b32898d129e8,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,61835be3-c482-4c34-a713-d890d0a2348a,,6.3.2,Failure to meet the requirements of the declared Category or failure to declare a Category prior to the start of the match will result in exclusion from that Category. Details of currently approved Categories and related requirements are listed in Appendix A2.,6027f0d2-305f-4fb5-b3da-b32898d129e8,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,03322854-28d8-409d-ad07-d03b1faf8383,,6.4.1,Subject to the availability of allocated slots~ only one official Regional team in each Division and/or Division/Category may be selected on merit by each Region for IPSC Level IV or higher matches. Approved Category teams are specified by the IPSC Assembly (see Appendix A2).,aae64ad9-7005-43ac-8ae3-cbfa3bb57540,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,08e3009d-089e-4d9a-b766-29094a367585,,6.4.2,An individual competitor�s scores can only be used exclusively for a single team in a match~ and each team must be comprised of competitors in the same Division.,aae64ad9-7005-43ac-8ae3-cbfa3bb57540,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,aba3cb83-37c6-4de1-b50f-c7151924e699,,6.4.3,Teams consist of a maximum of 4 members. However~ only the final scores of the 3 highest scoring team members will be used to calculate team results.,aae64ad9-7005-43ac-8ae3-cbfa3bb57540,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,28771d43-552a-4e2e-a007-ac658d09ea2a,,6.4.4,If a member of a team retires from the match for any reason before completing all of the stages~ scores attained by that competitor will continue to stand towards the team score. However~ the affected team is not entitled to replace the retired team member.,aae64ad9-7005-43ac-8ae3-cbfa3bb57540,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,410bc48a-7be9-4cb0-9b51-34420cb1a20d,,6.4.5,A team member who is unable to commence a match may be replaced prior to commencement by another competitor~ subject to the approval of the Match Director.,aae64ad9-7005-43ac-8ae3-cbfa3bb57540,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,1d985e0f-1da5-4162-bc6f-4794c64373db,,6.4.6,If a member of a team is disqualified from a match~ the disqualified member�s scores will revert to zero for,aae64ad9-7005-43ac-8ae3-cbfa3bb57540,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,a24972cb-1fe2-4e0c-ac2a-59f2c760c70b,,6.5.1,All competitors and Match Officials must be individual members of the IPSC Region in which they normally reside. Residency is defined as the Region where the individual is ordinarily domiciled for a minimum of 183 days of the twelve months immediately preceding the month in which the match begins. Ordinarily domiciled condition is a physical presence test and does not relate to citizenship or to any address of convenience. The 183 days need not be consecutive or the most recent 183 days of the twelve month period.,46c9b0a2-b832-4f77-9187-4056242980e0,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,13696515-a976-4b25-938d-b3c8f505952c,,6.5.2,A competitor and/or team member may represent only the IPSC Region in which they reside~ except as follows:,46c9b0a2-b832-4f77-9187-4056242980e0,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,97c7461f-ca7f-4870-8a43-87af5933f293,,6.5.3,At Regional and Continental Championships~ only competitors who satisfy the residency requirements stated in Rule 6.5.1 are entitled to be recognized as the Regional or Continental Champion~ by Division and/or by Division/Category~ as the case may be. However~ when determining Regional or Continental Champions~ match results of competitors from outside the applicable Region or Continent must not be deleted from the match results~ which must remain wholly intact. For example:,46c9b0a2-b832-4f77-9187-4056242980e0,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,d6a5b24b-df6b-4ad0-9a99-5aee51fbc2e3,,6.6.1,Competitors must compete for score according to the published match and squadding schedule. A competitor who is not present at the scheduled time and date for any stage may not attempt that stage without the prior approval of the Match Director~ failing which the competitor's score for that stage will be zero.,2fd3d8fc-e325-4127-9a7a-fc8e99939fc1,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,425a66e3-03ae-4c53-bfeb-3c1f6eab685d,,6.6.2,Only Match Officials (approved by the Range Master)~ match sponsors~ IPSC Patrons and dignitaries (approved by the Match Director)~ who are members in good standing of their Region of residence~ and IPSC Officers (as defined in Section 6.1 of the IPSC Constitution) may compete in a pre-match. Scores attained in the pre-match will be included in the overall match results provided dates of the pre-match are published in advance in the official match schedule. Competitors in the main match must not be restricted from viewing the pre-match.,2fd3d8fc-e325-4127-9a7a-fc8e99939fc1,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,74c54d1a-2255-44f6-a22a-5e8cd1fba466,,6.6.3,A match~ tournament or league will be deemed to have started on the first day that competitors (including those specified above) shoot for score and will be deemed to have ended when the results have been declared final by the Match Director.,2fd3d8fc-e325-4127-9a7a-fc8e99939fc1,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,31632a0b-31e3-4b8b-8443-93a0a66210e2,,6.7.1,The IPSC Executive Council may coordinate and publish dedicated regulations and procedures in order to manage and administer an International Classification System.,0abb9383-fbb1-4919-b14f-415c1e2f2f36,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,063d0daf-a8ad-4a5a-8e2e-7f71ae2c8288,,6.7.2,Competitors seeking an international classification must use the approved courses of fire available from the IPSC website.,0abb9383-fbb1-4919-b14f-415c1e2f2f36,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,20f38b34-e6d7-4f1a-b630-ed52fdd7171b,,7.1.1,Range Officer ("RO") � Issues range commands~ oversees competitor compliance with the written stage briefing and closely monitors safe competitor action. He also declares the time~ scores and penalties achieved by each competitor and verifies that these are correctly recorded on the competitor's score sheet (under the authority of a Chief Range Officer and Range Master).,22d52030-7be0-418a-bf43-4dbfbd73f4bc,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,cb27ccbf-3270-4ec5-bba0-7c33148a698e,,7.1.2,Chief Range Officer ("CRO") � Is the primary authority over all persons and activities in the courses of fire under his control~ and oversees the fair~ correct and consistent application of these rules (under the direct authority of the Range Master).,22d52030-7be0-418a-bf43-4dbfbd73f4bc,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,de70eb63-3176-4d5f-99e1-3c4fa5bf3161,,7.1.3,Stats Officer ("SO") � Supervises the stats room team~ which collects~ sorts~ verifies~ tabulates and retains all score sheets and ultimately produces provisional and final results (under the direct authority of the Range Master).,22d52030-7be0-418a-bf43-4dbfbd73f4bc,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,6d8ae3e2-a088-4e65-bc4d-ebfab06280ee,,7.1.4,Quartermaster ("QM") � Distributes~ repairs and maintains all range equipment (e.g. targets~ patches~ paint~ props etc.)~ other range needs (e.g. timers~ batteries~ staplers~ staples~ clipboards etc.) and replenishes Range Officer refreshments (under the direct authority of the Range Master).,22d52030-7be0-418a-bf43-4dbfbd73f4bc,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,e460dc44-6e8e-4c3d-81bd-15e5dcf0b4e6,,7.1.5,Range Master ("RM") � Has overall authority over all persons and activities within the entire range~ including range safety~ the operation of all courses of fire and the application of these rules. All disqualifications and appeals to arbitration must be brought to his attention. The Range Master is usually appointed by and works with the Match Director. However~ in respect of IPSC sanctioned Level IV or higher matches~ the appointment of the Range Master is subject to the prior written approval of the IPSC Executive Council.,22d52030-7be0-418a-bf43-4dbfbd73f4bc,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,26719522-304e-45be-86a9-160ac09d5e17,,7.1.6,Match Director ("MD") � Handles overall match administration including squadding~ scheduling~ range construction~ the coordination of all support staff and the provision of services. His authority and decisions will prevail with regard to all matters except in respect of matters in these rules which are the domain of the Range Master. The Match Director is appointed by the host organization and works with the Range Master.,22d52030-7be0-418a-bf43-4dbfbd73f4bc,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,32af5912-c01f-4488-970a-bfe2499d63ac,,7.2.1,The Range Master has authority over all Match Officials other than the Match Director (except when the Match Director is actually participating as a competitor at the match)~ and is responsible for decisions in matters concerning conduct and discipline.,fdeac260-65b2-4ee1-97c8-075976e3ad0d,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,c25979d7-7952-4393-900d-748380bde2df,,7.2.2,In the event that a Match Official is disciplined~ the Range Master must send a report of the incident and details of the disciplinary action to the Match Official's Regional Director~ the Regional Director of the Region hosting the match~ and to the President of the International Range Officers Association (IROA).,fdeac260-65b2-4ee1-97c8-075976e3ad0d,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,647fa611-8ef2-4cb8-92ea-15afce8eeec6,,7.2.3,A Match Official who is disqualified from a match for a safety infraction while competing will continue to be eligible to serve as a Match Official for the match. The Range Master will make any decision related to an official's participation.,fdeac260-65b2-4ee1-97c8-075976e3ad0d,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,7b218668-a9d9-46c3-af1e-e0abe91497bd,,7.3.1,Match organizers must~ prior to commencement of a match~ appoint a Match Director and a Range Master to carry out the duties detailed in these rules. The nominated Range Master should preferably be the most competent and experienced certified Match Official present (also see Rule 7.1.5). For Level I and II matches a single person may be appointed to be both the Match Director and the Range Master.,d85cdba1-d46f-4bac-afed-cdb0ece07f0a,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,d0be7482-6afc-409d-817c-bcc5651384c9,,7.3.2,References in these rules to Match Officials (e.g. "Range Officer"~ "Range Master" etc.)~ mean personnel who have been officially appointed by match organizers to actually serve in an official capacity at the match. Persons who are certified Match Officials~ but who are actually participating in the match as regular competitors~ have no standing or authority as Match Officials for that match. Such persons should therefore not participate in the match wearing garments bearing Match Official insignia.,d85cdba1-d46f-4bac-afed-cdb0ece07f0a,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,52b97dc5-91fe-4137-85fe-e0b4535219e1,,7.3.3,A person acting as a Match Official is prohibited from having a holstered firearm while directly accompanying and timing a competitor during his attempt at a COF. Violations are subject to Rule 7.2.2.,d85cdba1-d46f-4bac-afed-cdb0ece07f0a,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,58386631-d587-4b37-beeb-6ea3cc84ba07,,8.1.1,Pistol Caliber Carbines:,42d3cdbb-cfe5-4ab0-a142-6528b4ddb075,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,12623182-9d40-42b9-919b-ba45b1fecde3,,8.1.2,Not applicable.,42d3cdbb-cfe5-4ab0-a142-6528b4ddb075,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,3cb2c856-1353-47c8-a2a9-2ea0aefb7a64,,8.1.3,Courses of fire may require ready conditions which are different to those stated above. In such cases~ the required ready condition must be clearly stated in the written stage briefing.,42d3cdbb-cfe5-4ab0-a142-6528b4ddb075,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,57769358-f597-4d36-be55-99d8790cc630,,8.1.4,Unless complying with a Division requirement (see Appendix D)~ a competitor must not be restricted on the number of rounds to be loaded or reloaded in a firearm. Written stage briefings may only stipulate when the firearm is to be loaded or when mandatory reloads are required~ when permitted under Rule 1.1.5.2.,42d3cdbb-cfe5-4ab0-a142-6528b4ddb075,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,05e1721d-ea31-4a06-84a7-36e5ecfcb082,,8.2.1,The firearm is prepared~ made safe and held or placed as specified in the written stage briefing.,5dc56569-efbe-43c4-a124-f56f04bb0863,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,cdb73047-8627-4ae7-9a15-379fbbd819e6,,8.2.2,Unless specified in the written stage briefing~ the competitor�s stance prior to the commencement of the course of fire must be standing erect~ with the firearm in the ready condition~ held in both hands~ stock touching the competitor at hip level~ barrel parallel to the ground~ trigger guard downwards~ muzzle pointing downrange with the fingers outside the trigger guard. This applies to all firearm ready conditions~ unless otherwise specified in the written stage briefing.,5dc56569-efbe-43c4-a124-f56f04bb0863,cdb32d12-3aa3-48cf-8c61-35e79ed20813
