DISCIPLINE,9a343f59-e142-4d31-b0d2-c6be6925a106,ActionAir
CHAPTER,8563f3dd-787b-42e6-ae77-e3ee2dbd93ef,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,02ef8e05-c41b-4012-b579-713b87e198ba,Range and Course Construction,2,The following general regulations of course construction list the criteria~ responsibilities and restrictions applicable to courses of fire in IPSC matches. Course Designers~ host organizations and officials are governed by these regulations. ,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,8af0bcd7-f99e-4856-9e50-f3ec7ec296ed,Course Information,3,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,91e69ce1-bc0d-49be-8f26-48fbe81a584e,Range Equipment,4,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,687755c6-7542-4ec3-9cec-273f1e645f1d,Competitor Equipment,5,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,0c9fe70a-275c-415d-abdb-bc4ff0a81096,Match Structure,6,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,38c96a8a-89bf-453d-8cca-a12fc28c11d2,Match Management,7,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,feb1fc5f-e176-4be6-8280-183cb3752e62,The Course of Fire,8,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,88db1f00-ca62-4449-89d4-bf2f291cdc34,Scoring,9,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,5cdb76ee-e7cb-4667-addf-71f34186a872,Penalties and Disqualifications,10,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,fe536705-5d38-4e99-b75e-f5e9638efb5d,Arbitration and Interpretation of Rules,11,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,01b3528a-7163-4745-ab14-654f99b672a7,Miscellaneous Matters,12,,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,eb89fdf3-274f-4ccb-949a-3df65c170761,,5.2.4,Spare projectiles~ magazines and speed loaders should be carried in retention devices specifically designed for that purpose. Carriage of additional magazines and speed loaders in rear pockets of shorts or trousers is also approved.,c0b68834-9f4b-4510-8cf0-a35b561d1fe1,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,ac62cad1-2ac8-41ce-b6b9-a7bd604bcdb0,,5.2.5,Where a Division specifies a maximum distance that a competitor's handgun and equipment may extend away from a competitor's body~ a Range Officer may check compliance by measuring the closest distance between the competitor�s torso and the center of the longest dimension of the handgun grip and/or any reloading devices.,c0b68834-9f4b-4510-8cf0-a35b561d1fe1,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,0d7a26c4-7227-4535-9286-92cd87f6c4b4,,5.2.6,Action Air matches must not require the use of a particular type or brand of holster or allied equipment. However~ the Range Master may deem that a competitor�s holster is unsafe and order that the item be improved to his satisfaction~ failing which it must be withdrawn from the match. If a retaining strap or flap is attached to a holster and/or allied equipment~ it must be applied or closed prior to issuance of the "Standby" command (see Rule 8.3.3).,c0b68834-9f4b-4510-8cf0-a35b561d1fe1,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,f602c852-24cf-4217-9d1b-5cac129e240b,,5.2.7,Competitors must not be permitted to commence a course of fire wearing more than one holster or:,c0b68834-9f4b-4510-8cf0-a35b561d1fe1,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,a79d8864-c77b-4aed-8eea-fb35836df386,,5.2.8,Not applicable.,c0b68834-9f4b-4510-8cf0-a35b561d1fe1,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,7eb218cb-55e4-4ec1-a216-cd2802d2a6be,,5.2.9,Competitors deemed by the Range Master to be permanently and significantly disabled may be given special dispensation in relation to the type and/or placement of their holster and allied equipment~ and the Range Master will remain the final authority in respect of the safety and suitability of using such equipment at IPSC matches.,c0b68834-9f4b-4510-8cf0-a35b561d1fe1,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,6c5b88ab-7845-4e31-94de-cec9fe495444,,5.2.10,In some Divisions (see Appendix D)~ neither the handgun~ nor any of its attachments~ nor the holster~ nor any allied equipment~ can extend forward of the line illustrated in Appendix E2 at the Start Signal. Any such items a Range Officer deems not to be in compliance must be safely and promptly adjusted~ failing which Rule 6.2.5.1 will apply.,c0b68834-9f4b-4510-8cf0-a35b561d1fe1,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,73db95c2-d20c-4652-aad0-3ad03323705e,,5.3.1,The use of camouflage or other similar types of military or police garments other than by competitors who are law enforcement or military personnel is discouraged. The Match Director will be the final authority in respect of what garments must not be worn by competitors.,3477b301-836b-45d6-a11a-13b85b67542f,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,530034b5-b0a2-4e7f-89f1-8937f987061f,,5.4.1,All persons are warned that the correct use of adequate eye protection is in their own interest and of paramount importance to prevent injury to vision. It is strongly recommended that eye protection be worn at all times by all persons while on the range premises.,0f28ff61-cd37-45e6-9b26-0420d4e0d54a,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,6825af81-942e-4ba5-8cc4-7fe34c757bae,,5.4.2,Host organizations may require the use of such protection by all persons~ as a condition of attendance and while present on the range premises. If so~ Match Officials must make every reasonable effort to ensure that all persons wear adequate protection.,0f28ff61-cd37-45e6-9b26-0420d4e0d54a,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,e3e8c3c4-58a8-4afa-92a9-84f87dc75bdb,,5.4.3,If a Range Officer notices that a competitor has lost or displaced their eye protection during a course of fire~ or has commenced a course of fire without them~ the Range Officer must immediately stop the competitor who will be required to reshoot the course of fire after the protective devices have been restored.,0f28ff61-cd37-45e6-9b26-0420d4e0d54a,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,67b7c36d-b693-4e44-9c71-601ea24e2349,,5.4.4,A competitor who inadvertently loses eye protection during a course of fire~ or commences a course of fire without them~ is entitled to stop~ point their firearm in a safe direction and indicate the problem to the Range Officer~ in which case the provisions of the previous rule will apply.,0f28ff61-cd37-45e6-9b26-0420d4e0d54a,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,6df1f4bb-aa66-430a-a6e0-e2be2611cdfd,,5.4.5,Any attempt to gain a reshoot or advantage by removing eye protection during a course of fire will be considered unsportsmanlike conduct (see Rule 10.6.2).,0f28ff61-cd37-45e6-9b26-0420d4e0d54a,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,e05f933d-8aee-4c7d-bc71-0bdb64b1c30c,,5.4.6,If a Range Officer deems that a competitor about to make an attempt at a course of fire is wearing inadequate eye protection~ the Range Officer may order the competitor to rectify the situation before allowing the competitor to continue. The Range Master is the final authority on this matter.,0f28ff61-cd37-45e6-9b26-0420d4e0d54a,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,959892a2-d438-4df0-8b9d-51a3f55ca510,,5.5.1,Competitors at an IPSC match are solely and personally responsible for the safety of all and any projectiles which they bring to the match. Neither IPSC nor any IPSC Officers~ nor any organization affiliated to IPSC~ nor the officers of any organization affiliated to IPSC accepts any responsibility whatsoever in this regard~ nor in respect of any loss~ damage~ accident~ injury or death suffered by any person or entity as a result of the lawful or unlawful use of any such projectiles.,ae1a11a3-2b60-44c8-a42f-b25e47775714,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,83ddf8c2-87f0-44d0-b815-6a068a3dd445,,5.5.2,All competitor projectiles and their respective magazines and speed loaders must comply with the provisions of the relevant Division (see Appendix D).,ae1a11a3-2b60-44c8-a42f-b25e47775714,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,d55ed22c-f16f-4671-bbd9-6218e6d346af,,5.5.3,Spare magazines~ speed loaders or projectiles dropped or discarded by a competitor after the Start Signal may be retrieved. However~ their retrieval is~ at all times~ subject to all safety rules.,ae1a11a3-2b60-44c8-a42f-b25e47775714,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,32ad7d53-98d0-4efc-97de-e97544b906bc,,5.5.4,Projectiles made of any material other than polymer or biodegradable materials such as starch or bio-plastic are prohibited at IPSC Action Air matches (see Rule 10.5.15).,ae1a11a3-2b60-44c8-a42f-b25e47775714,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,4a27ea57-2528-4bf1-b1db-e4abe264f1e5,,5.5.5,Not applicable.,ae1a11a3-2b60-44c8-a42f-b25e47775714,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,917063c5-7c4b-4336-be1a-b33a6cb1d0fa,,5.5.6,Projectiles deemed unsafe by a Range Officer must be immediately withdrawn from the match (see Rule 10.5.15).,ae1a11a3-2b60-44c8-a42f-b25e47775714,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,7f00c38b-d655-4c34-9adb-d211542abe40,,5.6.1,The maximum power factor of projectiles in all Divisions is two Joules or the maximum power factor specified by law in the Region hosting a match~ whichever is lower (see Rule 10.5.15). Officials may use a chronograph to randomly conduct compliance tests of projectiles used by competitors through the competitor�s handgun at any time.,e494d0b9-850a-4999-b16d-2d6e917b42d5,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,711543e6-0f1c-4d4a-a35f-cb59cb40ae13,,5.7.1,If a competitor's firearm malfunctions after the Start Signal~ the competitor may safely attempt to correct the problem and continue the course of fire. During such corrective action~ the competitor must keep the muzzle of the firearm pointing safely downrange at all times. The competitor must not use rods or other tools to verify or correct the malfunction. Violations will result in a zero score for the stage.,96878a74-1e80-4a88-8b14-f45197ac4140,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,d93c26ab-5c16-4e45-b982-4cf5d3174493,,5.7.2,While rectifying a malfunction that requires the competitor to clearly move the firearm away from aiming at a target~ the competitor's fingers must be clearly visible outside the trigger guard (see Rule 10.5.8).,96878a74-1e80-4a88-8b14-f45197ac4140,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,0c3da060-6009-4bba-be18-fe639813f9c4,,5.7.3,In the event that a firearm malfunction cannot be corrected by the competitor within 2 minutes~ or if the competitor self-stops for any other reason~ he must point the firearm safely downrange and advise the Range Officer~ who will terminate the course of fire in the normal manner. The course of fire will be scored as shot including all applicable misses and penalties. However~ if a Stop Plate is being used~ the affected competitor will receive a zero score for the subject stage.,96878a74-1e80-4a88-8b14-f45197ac4140,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,2d33e5d8-a860-4f11-84f9-a127520349aa,,5.7.4,Under no circumstances is a competitor permitted to leave a course of fire in the possession of a loaded firearm (see Rule 10.5.13).,96878a74-1e80-4a88-8b14-f45197ac4140,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,988d055a-82bf-4201-8859-2e367f290655,,5.7.5,Where the firearm has failed as above~ the competitor must not be permitted to reshoot the course of fire. This includes instances where a firearm is declared unserviceable or unsafe during a course of fire (see Rule 5.1.6).,96878a74-1e80-4a88-8b14-f45197ac4140,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,f3c65dee-7963-492e-a916-d942b42aacf8,,5.7.6,In the event that a Range Officer terminates a course of fire due to a suspicion that a competitor has an unsafe firearm or unsafe projectiles~ the Range Officer will take whatever steps he deems necessary to return both the competitor and the range to a safe condition. The Range Officer will then inspect the firearm or projectiles and proceed as follows:,96878a74-1e80-4a88-8b14-f45197ac4140,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,eb735b7a-44ae-4a4b-94e8-197537235d95,,5.8.1,Organizers of Level IV or higher matches must~ and organizers of Level III or lower matches may~ make available propellant gas for purchase at the match by all competitors. Full details of the brand and type of propellant gas must be posted on the official match website not less than 6 months prior to the commencement of the match.,b50c02ca-b247-4771-aac0-4743bc36e75c,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,6b5c7cad-fb31-4d1f-82dd-f430a335e16e,,5.8.2,Such propellant gas is deemed to be competitor equipment (see Section 5.7)~ therefore malfunctions will not be grounds for a reshoot and/or an appeal to Arbitration.,b50c02ca-b247-4771-aac0-4743bc36e75c,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,33882272-6378-44f5-9958-b03a06b5f3b3,Course Of Fire,6.1.1,(also "course" and "COF") � A separately timed and scored IPSC shooting challenge~ conceptualized and constructed in accordance with IPSC principles of course design~ containing targets and challenges which each competitor must safely negotiate.,27ac8dea-2009-4b32-bfb5-2c0296f96027,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,9bf29d56-47a5-42f3-8079-62b5375d0804,Stage,6.1.2,A portion of an IPSC match containing one course of fire and related supporting facilities~ amenities~ shelter and signage. A stage must use one type of firearm (e.g. handgun) exclusively.,27ac8dea-2009-4b32-bfb5-2c0296f96027,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,3061f639-fe26-4093-af08-9be87107d759,Match,6.1.3,Consists of a minimum of 3 stages where all stages use the same type of firearm. The total sum of individual stage results will be accumulated to declare a match winner.,27ac8dea-2009-4b32-bfb5-2c0296f96027,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,19a1c404-9559-4446-a5c9-b2d362ef4519,,6.1.4,Not applicable.,27ac8dea-2009-4b32-bfb5-2c0296f96027,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,1629148d-01d1-4f34-81d1-f2b8aee8f14c,,6.1.5,Not applicable.,27ac8dea-2009-4b32-bfb5-2c0296f96027,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,3f6a9462-081c-4665-944c-944e5c7e403b,League,6.1.6,Consists of two or more IPSC matches of a single firearm type held at different locations and on different dates. The total sum of match results attained by each competitor at component matches specified by the league organizers will be accumulated to determine a league winner.,27ac8dea-2009-4b32-bfb5-2c0296f96027,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,8c119aee-fad4-4c62-b014-d4753352cc27,,6.1.7,A Region affiliated to IPSC cannot actively or passively sanction a shooting match of any type or format within the geographical boundaries of another Region without the advance and written approval of the Regional Director of the Region where the match is to be held. A Region in violation is subject to Section 5.9 of the IPSC Constitution.,27ac8dea-2009-4b32-bfb5-2c0296f96027,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,3059d6bb-b116-4f45-9847-6b46670a6fd3,,6.2.1,IPSC Divisions recognize different firearms and equipment (see Appendix D). Each match must recognize at least one Division. When multiple Divisions are available in a match~ each Division must be scored separately and independently~ and match results must recognize a winner in each Division.,737e89fd-91f0-4957-8ae3-8bba56a06821,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,bb400fe1-7cb2-43c1-b9be-f6b0af075467,,6.2.2,In IPSC sanctioned matches~ the minimum number of competitors stipulated in Appendix A2 must compete in each Division for it to be recognized. If there are insufficient competitors in a Division~ the Match Director may allow that Division to stand without official IPSC recognition.,737e89fd-91f0-4957-8ae3-8bba56a06821,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,a7fed5a5-f976-43a9-925f-0da40e689ffb,,6.2.3,Prior to the commencement of a match~ each competitor must declare one Division for score~ and Match Officials should check competitor equipment compliance with the declared Division~ prior to the competitor making an attempt at any of the courses of fire. This is a service to assist competitors verify that their equipment~ in the configuration as presented~ is in compliance with their declared Division. However~ competitors always remain subject to the provisions of Rule 6.2.5.1.,737e89fd-91f0-4957-8ae3-8bba56a06821,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,c1d39a05-4ce9-4c72-8086-cbf9f97bbfbc,,6.2.4,Subject to the prior approval of the Match Director~ a competitor may enter a match in more than one Division. However~ the competitor may compete for score in only one Division~ and that must be the first attempt in all cases. Any subsequent attempts in another Division will not be entered into match results nor count for match recognition and awards.,737e89fd-91f0-4957-8ae3-8bba56a06821,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,faa5f398-8907-46f3-9489-2f350ab1f2c3,,6.2.5,Where a Division is unavailable or deleted~ or where a competitor fails to declare a specific Division prior to the commencement of a match~ the competitor will be placed in the Division which~ in the opinion of the Range Master~ most closely identifies with the competitor's equipment. If~ in the opinion of the Range Master~ no suitable Division is available~ the competitor will shoot the match for no score.,737e89fd-91f0-4957-8ae3-8bba56a06821,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,2a56ca3f-04f6-42f0-9cf5-76c1d05a6599,,6.2.6,A disqualification incurred by a competitor~ at any time during a match~ will prevent the competitor from further participation in the match including any subsequent attempts in another Division. However~ this is not retroactive. Any previous and complete scores from another Division will be entered into match results for recognition and awards in that Division.,737e89fd-91f0-4957-8ae3-8bba56a06821,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,3828cace-86e1-4e19-b323-7e6862eff167,,6.2.7,Recognition of a competitor in a specific Division will not preclude further recognition in a Category or from inclusion as member of a Regional or other team.,737e89fd-91f0-4957-8ae3-8bba56a06821,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,89687e6e-a011-41ce-9fd4-0469209a8136,,6.3.1,IPSC matches may include different Categories within each Division to recognize different groups of competitors. A competitor may declare only one Category for a match.,fb890cf8-3bad-4787-85da-35aa68141837,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,9aaa4309-18a0-49b2-894d-5a649334e05a,,6.3.2,Failure to meet the requirements of the declared Category or failure to declare a Category prior to the start of the match will result in exclusion from that Category. Details of currently approved Categories and related requirements are listed in Appendix A2.,fb890cf8-3bad-4787-85da-35aa68141837,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,bd99091d-115d-4088-a8c9-23de800e1bfc,,6.4.1,Subject to the availability of allocated slots~ only one official Regional team in each Division and/or Division/Category may be selected on merit by each Region for IPSC Level IV or higher matches. Approved Category teams are specified by the IPSC Assembly (see Appendix A2).,3d710481-f4a6-4744-8d59-d054d520e29d,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,c4fdb94f-fb21-4f8c-a9b6-4ee2b9d9b5b5,,6.4.2,An individual competitor�s scores can only be used exclusively for a single team in a match~ and each team must be comprised of competitors in the same Division.,3d710481-f4a6-4744-8d59-d054d520e29d,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,2f0e5e00-a4f8-4c8f-b1e4-1770ba52654c,,6.4.3,Teams consist of a maximum of 4 members. However~ only the final scores of the 3 highest scoring team members will be used to calculate team results.,3d710481-f4a6-4744-8d59-d054d520e29d,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,68c52353-4e88-4faa-8015-a5a7e6e80c53,,6.4.4,If a member of a team retires from the match for any reason before completing all of the stages~ scores attained by that competitor will continue to stand towards the team score. However~ the affected team is not entitled to replace the retired team member.,3d710481-f4a6-4744-8d59-d054d520e29d,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,8588aa4f-b5a8-45b6-af00-8fca21b55893,,6.4.5,A team member who is unable to commence a match may be replaced prior to commencement by another competitor~ subject to the approval of the Match Director.,3d710481-f4a6-4744-8d59-d054d520e29d,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,1ac6fedd-33ea-42a6-a93f-125ce2d7e86c,,6.4.6,If a member of a team is disqualified from a match~ the disqualified member�s scores will revert to zero for all stages. Teams will not be entitled to replace a disqualified team member.,3d710481-f4a6-4744-8d59-d054d520e29d,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,c497b609-f287-493b-a9eb-de11bb0d556f,,6.5.1,All competitors and Match Officials must be individual members of the IPSC Region in which they normally reside. Residency is defined as the Region where the individual is ordinarily domiciled for a minimum of 183 days of the twelve months immediately preceding the month in which the match begins. Ordinarily domiciled condition is a physical presence test and does not relate to citizenship or to any address of convenience. The 183 days need not be consecutive or the most recent 183 days of the twelve month period.,d3cfcf1a-ae1d-40fb-a033-751a8e8e8d86,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,e8a83cc4-5295-4328-9ced-47da4f4de697,,6.5.2,A competitor and/or team member may represent only the IPSC Region in which they reside~ except as follows:,d3cfcf1a-ae1d-40fb-a033-751a8e8e8d86,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,913a0ca1-3b1f-485e-98e1-a03d718b02d8,,6.5.3,At Regional and Continental Championships~ only competitors who satisfy the residency requirements stated in Rule 6.5.1 are entitled to be recognized as the Regional or Continental Champion~ by Division and/or by Division/Category~ as the case may be. However~ when determining Regional or Continental Champions~ match results of competitors from outside the applicable Region or Continent must not be deleted from the match results~ which must remain wholly intact. For example: <br><br>Region 1 Open Division Championships <br><br>100% Competitor A -Region 2 (declared as Overall Match and Division Champion) 99% Competitor B -Region 6 95% Competitor C -Region 1 (declared as Region 1 Champion),d3cfcf1a-ae1d-40fb-a033-751a8e8e8d86,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,18664a5d-e0d7-4f5a-a0d2-1a6d83e48920,,6.6.1,Competitors must compete for score according to the published match and squadding schedule. A competitor who is not present at the scheduled time and date for any stage may not attempt that stage without the prior approval of the Match Director~ failing which the competitor's score for that stage will be zero.,a03b19ec-50bb-4195-831e-3bb2ccad561f,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,9077f40c-569c-4cec-8cd3-c60e9867a66b,,6.6.2,Only Match Officials (approved by the Range Master)~ match sponsors~ IPSC Patrons and dignitaries (approved by the Match Director)~ who are members in good standing of their Region of residence~ and IPSC Officers (as defined in Section 6.1 of the IPSC Constitution) may compete in a pre-match. Scores attained in the pre-match will be included in the overall match results provided dates of the pre-match are published in advance in the official match schedule. Competitors in the main match must not be restricted from viewing the pre-match.,a03b19ec-50bb-4195-831e-3bb2ccad561f,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,289be4c8-1b95-4d1c-81a4-3327381b38d7,,6.6.3,A match or league will be deemed to have started on the first day that competitors (including those specified above) shoot for score and will be deemed to have ended when the results have been declared final by the Match Director.,a03b19ec-50bb-4195-831e-3bb2ccad561f,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,1dcab418-5548-477a-98c8-bb2433799994,,6.7.1,The IPSC Executive Council may coordinate and publish dedicated regulations and procedures in order to manage and administer an International Classification System.,223f859c-122f-43d0-a959-8f645d88cd9a,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,ac8a18c9-42d5-48db-afd0-c7ccabb2da09,,6.7.2,Competitors seeking an international classification must use the approved courses of fire available from the IPSC website.,223f859c-122f-43d0-a959-8f645d88cd9a,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,56eaf6c1-c9a3-4051-a8f6-24357e8e289a,Range Officer,7.1.1,("RO") � Issues range commands~ oversees competitor compliance with the written stage briefing and closely monitors safe competitor action. He also declares the time~ scores and penalties achieved by each competitor and verifies that these are correctly recorded on the competitor's score sheet (under the authority of a Chief Range Officer and Range Master).,7f01097f-499e-4110-bd9c-84c525447015,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,b7815442-b5e7-4d21-8aaa-59788f210fba,Chief Range Officer,7.1.2,("CRO") � Is the primary authority over all persons and activities in the courses of fire under his control~ and oversees the fair~ correct and consistent application of these rules (under the direct authority of the Range Master).,7f01097f-499e-4110-bd9c-84c525447015,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,f0749554-8a8a-4eeb-85e9-3afa3d517ce0,Stats Officer,7.1.3,("SO") � Supervises the stats room team~ which collects~ sorts~ verifies~ tabulates and retains all score sheets and ultimately produces provisional and final results (under the direct authority of the Range Master).,7f01097f-499e-4110-bd9c-84c525447015,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,b069308f-c814-4861-93c2-307e92a29d00,Quartermaster,7.1.4,("QM") � Distributes~ repairs and maintains all range equipment (e.g. targets~ patches~ paint~ props etc.)~ other range needs (e.g. timers~ batteries~ staplers~ staples~ clipboards etc.) and replenishes Range Officer refreshments (under the direct authority of the Range Master).,7f01097f-499e-4110-bd9c-84c525447015,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,a8a10e68-cfd6-4524-b13f-d0c7a4e4a975,Range Master,7.1.5,("RM") � Has overall authority over all persons and activities within the entire range~ including range safety~ the operation of all courses of fire and the application of these rules. All disqualifications and appeals to arbitration must be brought to his attention. The Range Master is usually appointed by and works with the Match Director. However~ in respect of IPSC sanctioned Level IV or higher matches~ the appointment of the Range Master is subject to the prior written approval of the IPSC Executive Council.,7f01097f-499e-4110-bd9c-84c525447015,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,fb76c5c0-3a13-449f-9f7f-b904d92ce0a7,Match Director,7.1.6,("MD") � Handles overall match administration including squadding~ scheduling~ range construction~ the coordination of all support staff and the provision of services. His authority and decisions will prevail with regard to all matters except in respect of matters in these rules which are the domain of the Range Master. The Match Director is appointed by the host organization and works with the Range Master.,7f01097f-499e-4110-bd9c-84c525447015,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,67ff0682-0ca5-4281-bfc1-314eae6cdaa1,,7.2.1,The Range Master has authority over all Match Officials other than the Match Director (except when the Match Director is actually participating as a competitor at the match)~ and is responsible for decisions in matters concerning conduct and discipline.,e1d6f249-28a0-4cda-afa3-d8892745dc76,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,34d9f072-d92e-4c74-a9d8-e076f48741b5,,7.2.2,In the event that a Match Official is disciplined~ the Range Master must send a report of the incident and details of the disciplinary action to the Match Official's Regional Director~ the Regional Director of the Region hosting the match~ and to the President of the International Range Officers Association (IROA).,e1d6f249-28a0-4cda-afa3-d8892745dc76,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,6e104fe6-cc7c-44a5-a5b3-58ae4a7e0d92,,7.2.3,A Match Official who is disqualified from a match for a safety infraction while competing will continue to be eligible to serve as a Match Official for the match. The Range Master will make any decision related to an official's participation.,e1d6f249-28a0-4cda-afa3-d8892745dc76,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,9c5efbf2-c29b-400c-855f-6b0dad7da72b,,7.3.1,Match organizers must~ prior to commencement of a match~ appoint a Match Director and a Range Master to carry out the duties detailed in these rules. The nominated Range Master should preferably be the most competent and experienced certified Match Official present (also see Rule 7.1.5). For Level I and II matches a single person may be appointed to be both the Match Director and the Range Master.,f260c047-b0f4-40ea-ba47-cb819bbdfee3,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,d4a076c8-ffbd-4a06-9b9b-7ae6d79bfe92,,7.3.2,References in these rules to Match Officials (e.g. "Range Officer"~ "Range Master" etc.)~ mean personnel who have been officially appointed by match organizers to actually serve in an official capacity at the match. Persons who are certified Match Officials~ but who are actually participating in the match as regular competitors~ have no standing or authority as Match Officials for that match. Such persons should therefore not participate in the match wearing garments bearing Match Official insignia.,f260c047-b0f4-40ea-ba47-cb819bbdfee3,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,5cb6b44d-e72c-460f-af2d-e2488d26f1fe,,7.3.3,A person acting as a Match Official is prohibited from having a holstered firearm while directly accompanying and timing a competitor during his attempt at a COF. Violations are subject to Rule 7.2.2.,f260c047-b0f4-40ea-ba47-cb819bbdfee3,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,64fbb221-1bbe-44e5-82f1-c63583572a88,,8.1.1,Not applicable.,2c5983a3-c100-4197-8617-a026ce6bc992,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,790f3041-e335-4851-95e7-09a01d5101a4,,8.1.2,Self-loading Pistols:,2c5983a3-c100-4197-8617-a026ce6bc992,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,d7696f7d-db04-4a63-9c07-7a91d5715cb0,,8.1.3,If a course of fire requires that a self-loading pistol be prepared with an empty chamber~ the slide must be fully forward and the hammer~ if fitted~ must be fully down or decocked. After the Start Signal~ the first projectile must be chambered by manipulation of the slide~ not by trigger action. Violations will incur one procedural penalty.,2c5983a3-c100-4197-8617-a026ce6bc992,9a343f59-e142-4d31-b0d2-c6be6925a106
