DISCIPLINE,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0,Shotgun
CHAPTER,a522ef74-8f0a-4b4b-bc96-c2686648c948,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,d7eadec7-988c-41ea-bcd8-12eeba5062f9,Range and Course Construction,2,The following general regulations of course construction list the criteria~ responsibilities and restrictions applicable to courses of fire in IPSC matches. Course Designers~ host organizations and officials are governed by these regulations. ,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,4ee10809-42e9-44a7-b336-7aea1ea4ba68,Course Information,3,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,3525567f-1076-4514-ba19-f0b78c2c7650,Range Equipment,4,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,36e03673-8c72-4467-bdbd-fc2fd11f90d1,Competitor Equipment,5,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,22167b43-a0ec-4636-8d27-4fd082140bd8,Match Structure,6,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,92cfdc12-6b8c-42f9-a5ab-5e0132d330e0,Match Management,7,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,052d3107-1381-4ebc-9e5e-5fb45ed6074f,The Course of Fire,8,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,e59f5405-335f-4249-88ad-2ead96add2fd,Scoring,9,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,634b991c-2597-4d52-a8bf-e91540544366,Penalties and Disqualifications,10,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,54a6c27c-06c4-44a2-b503-64735c7fcebe,Arbitration and Interpretation of Rules,11,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,766fcc57-a446-4f58-ac29-3c60c90b27aa,Miscellaneous Matters,12,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,59a8e4f9-bca0-4721-a1c5-a96ccf83addc,,5.4.5,Any attempt to gain a reshoot or advantage by removing eye and/or ear protection during a course of fire will be considered unsportsmanlike conduct (see Rule 10.6.2).,c5d99c7b-e421-4bfd-9572-aa3504e5f3c6,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,0c1b0276-1167-443b-9282-65256830d27c,,5.4.6,If a Range Officer deems that a competitor about to make an attempt at a course of fire is wearing inadequate eye or ear protection~ the Range Officer may order the competitor to rectify the situation before allowing the competitor to continue. The Range Master is the final authority on this matter.,c5d99c7b-e421-4bfd-9572-aa3504e5f3c6,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,8458175c-64be-4d43-98fe-ca83f808a230,,5.5.1,Competitors at an IPSC match are solely and personally responsible for the safety of all and any ammunition~ which they bring to the match. Neither IPSC nor any IPSC Officers~ nor any organization affiliated to IPSC~ nor the officers of any organization affiliated to IPSC accepts any responsibility whatsoever in this regard~ nor in respect of any loss~ damage~ accident~ injury or death suffered by any person or entity as a result of the lawful or unlawful use of any such ammunition.,0b2d24c5-66de-4608-b462-f07d4f2c6c04,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,524dd1a8-0394-46e9-93f8-48f44fbd6d57,,5.5.2,All competitor ammunition and their respective magazines and speed loaders must comply with the provisions of the relevant Division (see Appendix D).,0b2d24c5-66de-4608-b462-f07d4f2c6c04,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,21c69a65-805d-4b2a-827a-3cc0a2d68ca2,,5.5.3,Spare magazines~ speed loaders or ammunition dropped or discarded by a competitor after the Start Signal may be retrieved. However~ their retrieval is~ at all times~ subject to all safety rules.,0b2d24c5-66de-4608-b462-f07d4f2c6c04,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,9d1c336a-3cb0-4332-bf95-4a2f05ac643b,,5.5.4,Metal piercing~ incendiary and/or tracer ammunition is prohibited at IPSC matches (see Rule 10.5.15).,0b2d24c5-66de-4608-b462-f07d4f2c6c04,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,5c01be21-9f1d-4ef8-ab97-171f736f1fd9,,5.5.5,Not applicable.,0b2d24c5-66de-4608-b462-f07d4f2c6c04,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,ef29607a-0596-48a0-a69a-49fb54a57ae0,,5.5.6,Ammunition deemed unsafe by a Range Officer must be immediately withdrawn from the match (see Rule 10.5.15).,0b2d24c5-66de-4608-b462-f07d4f2c6c04,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,6fea8fd6-5ae7-42a1-a024-d4122d400be4,,5.5.7,All rounds loaded in the shotgun prior to the Start Signal must be of the same configuration (i.e. wad~ velocity~ propellant~ pellet weight~ pellet size~ length~ etc.). Violations may be subject to Rule 10.6.1.,0b2d24c5-66de-4608-b462-f07d4f2c6c04,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,376b572c-48ce-4c81-91ff-6341152fa66d,,5.5.8,Only certain cartridge types~ and shot sizes or types~ are permissible and these are detailed in Appendix E1. Changes to this appendix must not be applied to IPSC Shotgun matches without the express consent of the Regional Director.,0b2d24c5-66de-4608-b462-f07d4f2c6c04,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,ba31122c-a780-4dcf-b067-29fa8e904249,,5.6.1,The power factors for each Division are stipulated in Appendix D. The cartridge power factor is usually calculated by reference to the manufacturer�s published data. However~ one or more official match chronographs may be used to assist in the determination of power factor. In the absence of manufacturer�s published data and chronographs~ the power factor declared by a competitor cannot be challenged.,5319533f-a133-4831-8dd9-80bdb5a00d64,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,89872775-7b8f-40cf-ac57-cb88bf68b31c,,5.6.2,The chronograph must be properly set up in accordance with the manufacturer's recommendations and verified each day by Match Officials in the following manner:,5319533f-a133-4831-8dd9-80bdb5a00d64,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,aefaa12b-ec53-4520-b812-38b9b31272bd,,5.6.3,Competitor Ammunition Testing Procedure,5319533f-a133-4831-8dd9-80bdb5a00d64,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,4b75a413-21a5-4712-bcd1-6169251d0662,,5.7.1,If a competitor's firearm malfunctions after the Start Signal~ the competitor may safely attempt to correct the problem and continue the course of fire. During such corrective action~ the competitor must keep the muzzle of the firearm pointing safely downrange at all times. The competitor must not use rods or other tools to verify or correct the malfunction. Violations will result in a zero score for the stage.,b35730fb-03e4-439a-bcdd-d809b74404a2,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,271fd5df-b73d-48d6-8975-474b961b5e61,,5.7.2,While rectifying a malfunction that requires the competitor to clearly move the firearm away from aiming at a target~ the competitor's fingers must be clearly visible outside the trigger guard (see Rule 10.5.8).,b35730fb-03e4-439a-bcdd-d809b74404a2,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,7f468ff5-140f-4409-8c5e-f4ce748a04ed,,5.7.3,In the event that a firearm malfunction cannot be corrected by the competitor within 2 minutes~ or if the competitor self-stops for any other reason~ he must point the firearm safely downrange and advise the Range Officer~ who will terminate the course of fire in the normal manner. The course of fire will be scored as shot including all applicable misses and penalties.,b35730fb-03e4-439a-bcdd-d809b74404a2,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,d12b04cd-e9d0-4227-8951-771fa4300d5e,,5.7.4,Under no circumstances is a competitor permitted to leave a course of fire in the possession of a loaded firearm (see Rule 10.5.13).,b35730fb-03e4-439a-bcdd-d809b74404a2,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,a301330d-1c93-4f83-8b3b-17140254dd69,,5.7.5,Where the firearm has failed as above~ the competitor must not be permitted to reshoot the course of fire. This includes instances where a firearm is declared unserviceable or unsafe during a course of fire (see Rule 5.1.6).,b35730fb-03e4-439a-bcdd-d809b74404a2,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,93fdde8e-123b-41b9-8496-f9cbb1aaf394,,5.7.6,In the event that a Range Officer terminates a course of fire due to a suspicion that a competitor has an unsafe firearm or unsafe ammunition (e.g. a "squib" load)~ the Range Officer will take whatever steps he deems necessary to return both the competitor and the range to a safe condition. The Range Officer will then inspect the firearm or ammunition and proceed as follows:,b35730fb-03e4-439a-bcdd-d809b74404a2,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,cd9b47d1-416f-483c-81b7-0aafa0845bb0,,5.8.1,When match organizers make official match ammunition available for purchase by competitors at a match~ the Match Director must~ both in advance in official match literature (and/or on the official match website)~ and by way of a sign certified by him and posted at a conspicuous place at the point of sale~ clearly identify the: manufacturer~ brand(s)~ calibers~ cartridge case lengths~ shot size~ shot weight~ velocity~ powder dram equivalent (if available). The subject rounds will usually be exempt from Rule 5.6.3 testing by chronograph~ subject to the following conditions:,3efe94f0-7496-4819-9d65-e04d08f762cd,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,dee7cb89-cbbd-43cb-8390-20423f15d07a,,5.8.2,Where possible~ match organizers (or their nominated vendor at the match) should make available a test firing bay~ supervised by a Range Officer~ where competitors can function test a small quantity of official match ammunition of the same batch through their firearm(s) prior to purchase.,3efe94f0-7496-4819-9d65-e04d08f762cd,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,d2378a2c-5a71-44a0-8406-220509edaa2d,,5.8.3,For matches at Level III and above the Match Director must~ both in advance in official match literature,3efe94f0-7496-4819-9d65-e04d08f762cd,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,4fa3d9b6-4c4a-4ae7-820a-ffeee65ed7b9,,6.1.1,Course Of Fire (also "course" and "COF") � A separately timed and scored IPSC shooting challenge~ conceptualized and constructed in accordance with IPSC principles of course design~ containing targets and challenges which each competitor must safely negotiate.,052bf51c-3f77-450f-b3d9-cc8dc84225a0,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,79890fef-3aed-4f00-85b0-5af63b5e617c,Stage,6.1.2,A portion of an IPSC match containing one course of fire and related supporting facilities~ amenities~ shelter and signage. A stage must use one type of firearm (e.g. handgun~ rifle or shotgun) exclusively.,052bf51c-3f77-450f-b3d9-cc8dc84225a0,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,206e27a5-409f-46f1-8193-a2a74c544072,Match,6.1.3,Consists of a minimum of 3 stages where all stages use the same type of firearm. The total sum of individual stage results will be accumulated to declare a match winner.,052bf51c-3f77-450f-b3d9-cc8dc84225a0,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,c5f68765-0928-40ba-ae0c-02aa864d579b,Tournament,6.1.4,A special match where individual stages are assigned to one particular type of firearm (e.g. Stages 1-4 Handgun~ Stages 5-8 Rifle~ Stages 9-12 Shotgun). The total sum of individual stage results will be accumulated to declare a tournament winner.,052bf51c-3f77-450f-b3d9-cc8dc84225a0,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,8f722f11-c37c-4516-8e14-1d576fe90ec1,Grand Tournament,6.1.5,Consists of two or more firearm specific matches (e.g. a handgun match and a shotgun match~ or a handgun match~ a rifle match and a shotgun match). The individual match results achieved by a competitor in each component match will be used to declare an overall tournament winner~ in accordance with the IPSC Grand Tournament Rules.,052bf51c-3f77-450f-b3d9-cc8dc84225a0,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,75be61d5-1e2b-4aaa-9ad5-19b437b57ef5,League,6.1.6,Consists of two or more IPSC matches of a single firearm type held at different locations and on different dates. The total sum of match results attained by each competitor at component matches specified by the league organizers will be accumulated to determine a league winner.,052bf51c-3f77-450f-b3d9-cc8dc84225a0,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,4f6f24e9-fb1a-4db6-bdfc-e99a42de4a7b,,6.1.7,A Region affiliated to IPSC cannot actively or passively sanction a shooting match of any type or format within the geographical boundaries of another Region without the advance and written approval of the Regional Director of the Region where the match is to be held. A Region in violation is subject to Section 5.9 of the IPSC Constitution.,052bf51c-3f77-450f-b3d9-cc8dc84225a0,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,c342562a-ea9c-45c3-b18a-cfb617c4b976,,6.2.1,IPSC Divisions recognize different firearms and equipment (see Appendix D). Each match must recognize at least one Division. When multiple Divisions are available in a match~ each Division must be scored separately and independently~ and match results must recognize a winner in each Division.,32cab4cb-ed89-4d36-8f61-aed025635e70,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,354fe5e6-0fd6-4b23-8dd3-eb008f174a1b,,6.2.2,In IPSC sanctioned matches~ the minimum number of competitors stipulated in Appendix A2 must compete in each Division for it to be recognized. If there are insufficient competitors in a Division~ the Match Director may allow that Division to stand without official IPSC recognition.,32cab4cb-ed89-4d36-8f61-aed025635e70,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,bd81feb0-ff86-4249-8f49-4ef99e61dbfe,,6.2.3,Prior to the commencement of a match~ each competitor must declare one Division for score~ and Match Officials should check competitor equipment compliance with the declared Division~ prior to the competitor making an attempt at any of the courses of fire. This is a service to assist competitors verify that their equipment~ in the configuration as presented~ is in compliance with their declared Division. However~ competitors always remain subject to the provisions of Rule 6.2.5.1.,32cab4cb-ed89-4d36-8f61-aed025635e70,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,d43b4a3f-3da2-4897-99f1-791d27fde78a,,6.2.4,Subject to the prior approval of the Match Director~ a competitor may enter a match in more than one Division. However~ the competitor may compete for score in only one Division~ and that must be the first attempt in all cases. Any subsequent attempts in another Division will not be entered into match results nor count for match recognition and awards.,32cab4cb-ed89-4d36-8f61-aed025635e70,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,1e305399-bb04-48fa-88c9-4b7077a62840,,6.2.5,Where a Division is unavailable or deleted~ or where a competitor fails to declare a specific Division prior to the commencement of a match~ the competitor will be placed in the Division which~ in the opinion of the Range Master~ most closely identifies with the competitor's equipment. If~ in the opinion of the Range Master~ no suitable Division is available~ the competitor will shoot the match for no score.,32cab4cb-ed89-4d36-8f61-aed025635e70,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,acb2faa2-9fe8-4504-a757-5b396ca82e02,,6.2.6,A disqualification incurred by a competitor~ at any time during a match~ will prevent the competitor from further participation in the match including any subsequent attempts in another Division. However~ this is not retroactive. Any previous and complete scores from another Division will be entered into match results for recognition and awards in that Division.,32cab4cb-ed89-4d36-8f61-aed025635e70,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,80e5520c-b3f4-4206-a720-7c55b18604b3,,6.2.7,Recognition of a competitor in a specific Division will not preclude further recognition in a Category or from inclusion as member of a Regional or other team.,32cab4cb-ed89-4d36-8f61-aed025635e70,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,f5a05f32-3280-44cf-9e1d-72443d978163,,6.3.1,IPSC matches may include different Categories within each Division to recognize different groups of competitors. A competitor may declare only one Category for a match or tournament.,5735e13d-45b1-4785-a404-bdea98449a72,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,d2cd4f8f-a49b-46de-891b-db18a0aba39f,,6.3.2,Failure to meet the requirements of the declared Category or failure to declare a Category prior to the start of the match will result in exclusion from that Category. Details of currently approved Categories and related requirements are listed in Appendix A2.,5735e13d-45b1-4785-a404-bdea98449a72,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,38ad6776-ad41-4d81-9825-91741614a7b0,,6.4.1,Subject to the availability of allocated slots~ only one official Regional team in each Division and/or Division/Category may be selected on merit by each Region for IPSC Level IV or higher matches. Approved Category teams are specified by the IPSC Assembly (see Appendix A2).,4c29197b-7efc-4fb9-a4e4-fc43b591dbf9,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,ec81f196-d41f-49ad-bee8-62cfa4ed9eb1,,6.4.2,An individual competitor�s scores can only be used exclusively for a single team in a match~ and each team must be comprised of competitors in the same Division.,4c29197b-7efc-4fb9-a4e4-fc43b591dbf9,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,cdabf453-36b0-49d0-adbb-648eec3d8878,,6.4.3,Teams consist of a maximum of 4 members. However~ only the final scores of the 3 highest scoring team members will be used to calculate team results.,4c29197b-7efc-4fb9-a4e4-fc43b591dbf9,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,28574060-7002-4455-9a2f-0021871798d6,,6.4.4,If a member of a team retires from the match for any reason before completing all of the stages~ scores attained by that competitor will continue to stand towards the team score. However~ the affected team is not entitled to replace the retired team member.,4c29197b-7efc-4fb9-a4e4-fc43b591dbf9,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,dd41abfa-965c-41c8-be65-d038bf673359,,6.4.5,A team member who is unable to commence a match may be replaced prior to commencement by another competitor~ subject to the approval of the Match Director.,4c29197b-7efc-4fb9-a4e4-fc43b591dbf9,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,8d89341e-21c2-48f0-bfb9-aae1b7782b73,,6.4.6,If a member of a team is disqualified from a match~ the disqualified member�s scores will revert to zero for all stages. Teams will not be entitled to replace a disqualified team member.,4c29197b-7efc-4fb9-a4e4-fc43b591dbf9,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,ec474945-f30b-4a6f-af3e-fe4e256de86b,,6.5.1,All competitors and Match Officials must be individual members of the IPSC Region in which they normally reside. Residency is defined as the Region where the individual is ordinarily domiciled for a minimum of 183 days of the twelve months immediately preceding the month in which the match begins. Ordinarily domiciled condition is a physical presence test and does not relate to citizenship or to any address of convenience. The 183 days need not be consecutive or the most recent 183 days of the twelve month period.,b5afc1df-4a91-4be8-af6b-9cc29bb70021,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,5ae6c4b9-166d-44df-9c71-27a851122d88,,6.5.2,A competitor and/or team member may represent only the IPSC Region in which they reside~ except as follows:,b5afc1df-4a91-4be8-af6b-9cc29bb70021,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,947101f6-63d3-4237-84f8-3a93819555e2,,6.5.3,At Regional and Continental Championships~ only competitors who satisfy the residency requirements stated in Rule 6.5.1 are entitled to be recognized as the Regional or Continental Champion~ by Division and/or by Division/Category~ as the case may be. However~ when determining Regional or Continental Champions~ match results of competitors from outside the applicable Region or Continent must not be deleted from the match results~ which must remain wholly intact. For example:,b5afc1df-4a91-4be8-af6b-9cc29bb70021,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,0ad2e45a-e4e3-40bd-a42b-002528e1f30a,,6.6.1,Competitors must compete for score according to the published match and squadding schedule. A competitor who is not present at the scheduled time and date for any stage may not attempt that stage without the prior approval of the Match Director~ failing which the competitor's score for that stage will be zero.,911a6f58-4bb4-4625-966d-1ea135044aca,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,589225ee-ce00-474f-97fe-2fe15e4187a5,,6.6.2,Only Match Officials (approved by the Range Master)~ match sponsors~ IPSC Patrons and dignitaries (approved by the Match Director)~ who are members in good standing of their Region of residence~ and IPSC Officers (as defined in Section 6.1 of the IPSC Constitution) may compete in a pre-match. Scores attained in the pre-match~ will be included in the overall match results provided dates of the pre-match are published in advance in the official match schedule. Competitors in the main match must not be restricted from viewing the pre-match.,911a6f58-4bb4-4625-966d-1ea135044aca,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,a24195bd-e9fe-47af-b7e7-a2fd4627101f,,6.6.3,A match~ tournament or league will be deemed to have started on the first day that competitors (including those specified above) shoot for score and will be deemed to have ended when the results have been declared final by the Match Director.,911a6f58-4bb4-4625-966d-1ea135044aca,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,0d57f53d-c254-42f9-b948-4e33fef10628,,6.7.1,The IPSC Executive Council may coordinate and publish dedicated regulations and procedures in order to manage and administer an International Classification System.,064ef05a-83a6-4484-abb4-0500d84471f9,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,d4b53fa2-b0f9-47f3-a0b0-5e679ac93cc7,,6.7.2,Competitors seeking an international classification must use the approved courses of fire available from the IPSC website.,064ef05a-83a6-4484-abb4-0500d84471f9,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,24035791-d0b7-4fbd-b7d1-b8db91200034,,7.1.1,Range Officer ("RO") � Issues range commands~ oversees competitor compliance with the written stage briefing and closely monitors safe competitor action. He also declares the time~ scores and penalties achieved by each competitor and verifies that these are correctly recorded on the competitor's score sheet (under the authority of a Chief Range Officer and Range Master).,da9d1497-172f-4663-b0a6-01f7f2962360,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,9d18a90a-7b9d-4dab-ad34-6efbf3604106,,7.1.2,Chief Range Officer ("CRO") � Is the primary authority over all persons and activities in the courses of fire under his control~ and oversees the fair~ correct and consistent application of these rules (under the direct authority of the Range Master).,da9d1497-172f-4663-b0a6-01f7f2962360,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,abfa3b74-ea47-4dd8-bc6e-94dd569a2afb,,7.1.3,Stats Officer ("SO") � Supervises the stats room team~ which collects~ sorts~ verifies~ tabulates and retains all score sheets and ultimately produces provisional and final results (under the direct authority of the Range Master).,da9d1497-172f-4663-b0a6-01f7f2962360,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,1bc9c823-b254-4772-82df-68d6f59d2c0e,,7.1.4,Quartermaster ("QM") � Distributes~ repairs and maintains all range equipment (e.g. targets~ patches~ paint~ props etc.)~ other range needs (e.g. timers~ batteries~ staplers~ staples~ clipboards etc.) and replenishes Range Officer refreshments (under the direct authority of the Range Master).,da9d1497-172f-4663-b0a6-01f7f2962360,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,3badc314-87ad-4b65-a03f-3ecd80fb4b5a,,7.1.5,Range Master ("RM") � Has overall authority over all persons and activities within the entire range~ including range safety~ the operation of all courses of fire and the application of these rules. All disqualifications and appeals to arbitration must be brought to his attention. The Range Master is usually appointed by and works with the Match Director. However~ in respect of IPSC sanctioned Level IV or higher matches~ the appointment of the Range Master is subject to the prior written approval of the IPSC Executive Council.,da9d1497-172f-4663-b0a6-01f7f2962360,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,1f0cb46a-8c5e-4dec-b265-2aff21d507cc,,7.1.6,Match Director ("MD") � Handles overall match administration including squadding~ scheduling~ range construction~ the coordination of all support staff and the provision of services. His authority and decisions will prevail with regard to all matters except in respect of matters in these rules which are the domain of the Range Master. The Match Director is appointed by the host organization and works with the Range Master.,da9d1497-172f-4663-b0a6-01f7f2962360,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,2101f430-3ea0-4f60-b1ee-c532dd2a38dd,,7.2.1,The Range Master has authority over all Match Officials other than the Match Director (except when the Match Director is actually participating as a competitor at the match)~ and is responsible for decisions in matters concerning conduct and discipline.,078a0ddd-ab97-4eb0-b97c-feef2a163db2,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,a27ca87a-f381-45cf-a05c-defc67db23e4,,7.2.2,In the event that a Match Official is disciplined~ the Range Master must send a report of the incident and details of the disciplinary action to the Match Official's Regional Director~ the Regional Director of the Region hosting the match~ and to the President of the International Range Officers Association (IROA).,078a0ddd-ab97-4eb0-b97c-feef2a163db2,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,16f6700d-15fa-4f29-9891-13a07cff5180,,7.2.3,A Match Official who is disqualified from a match for a safety infraction while competing will continue to be eligible to serve as a Match Official for the match. The Range Master will make any decision related to an official's participation.,078a0ddd-ab97-4eb0-b97c-feef2a163db2,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,092d19fc-e1c0-4830-b285-f8105f133045,,7.3.1,Match organizers must~ prior to commencement of a match~ appoint a Match Director and a Range Master to carry out the duties detailed in these rules. The nominated Range Master should preferably be the most competent and experienced certified Match Official present (also see Rule 7.1.5). For Level I and II matches a single person may be appointed to be both the Match Director and the Range Master.,eaa955c0-98f1-4d73-9291-bfff51cc1818,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,a4ffc31f-9690-4a8b-9000-75f1accbf6f8,,7.3.2,References in these rules to Match Officials (e.g. "Range Officer"~ "Range Master" etc.)~ mean personnel who have been officially appointed by match organizers to actually serve in an official capacity at the match. Persons who are certified Match Officials~ but who are actually participating in the match as regular competitors~ have no standing or authority as Match Officials for that match. Such persons should therefore not participate in the match wearing garments bearing Match Official insignia.,eaa955c0-98f1-4d73-9291-bfff51cc1818,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,9f644a64-6ff5-4322-895d-323fbb6ac76d,,7.3.3,A person acting as a Match Official is prohibited from having a holstered firearm while directly accompanying and timing a competitor during his attempt at a COF. Violations are subject to Rule 7.2.2.,eaa955c0-98f1-4d73-9291-bfff51cc1818,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,3384603e-d42d-41e2-b41f-da5887c14036,,8.1.1,Shotguns:,a82c9d75-eb9d-4eba-83e8-39a25595d74b,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,c07c3f53-e7fa-4020-96a9-7c6c41ff4242,,8.1.2,Not applicable.,a82c9d75-eb9d-4eba-83e8-39a25595d74b,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,58e81976-0476-4f3c-a9d9-5d355d047132,,8.1.3,Courses of fire may require ready conditions which are different to those stated above. In such cases~ the required ready condition must be clearly stated in the written stage briefing.,a82c9d75-eb9d-4eba-83e8-39a25595d74b,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,592235a4-2539-45ca-9246-947d2bfcb7e0,,8.1.4,Unless complying with a Division requirement (see Appendix D)~ or Rule 8.1.1~ a competitor must not be restricted on the number of rounds to be loaded or reloaded in a shotgun. Written stage briefings may only stipulate when the firearm is to be loaded or when mandatory reloads are required~ when permitted under Rule 1.1.5.2.,a82c9d75-eb9d-4eba-83e8-39a25595d74b,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,be416099-254c-44e4-9a89-c1eff5d8768f,,8.1.5,Not applicable.,a82c9d75-eb9d-4eba-83e8-39a25595d74b,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,a377eff5-21c3-4cd7-b001-d8817ac45457,,8.1.6,For the initial load prior to the Start Signal the Range Master may require that all rounds be firstly placed in a box or other container to facilitate an easy check on the number and configuration of cartridges to be loaded.,a82c9d75-eb9d-4eba-83e8-39a25595d74b,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,5e22c03a-c481-4f15-9658-f90d9fe75d66,,8.2.1,The firearm is prepared~ made safe and held or placed as specified in the written stage briefing~ and is in compliance with the requirements of the relevant Division.,90a9c245-ce32-4e2e-8f4a-3da8a61e4de6,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,61815c1b-d00e-4d3c-8a7f-badbd6a4ce1a,,8.2.2,The competitor's stance prior to the commencement of the course of fire will be as specified in the written stage briefing. See below:,90a9c245-ce32-4e2e-8f4a-3da8a61e4de6,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
