DISCIPLINE,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83,Handgun
CHAPTER,d68b7723-d685-40d7-9b72-ecb1c638db9c,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,5bb699ac-dac3-4aba-a4f9-cba4f642c1c5,Range and Course Construction,2,The following general regulations of course construction list the criteria~ responsibilities and restrictions applicable to courses of fire in IPSC matches. Course Designers~ host organizations and officials are governed by these regulations. ,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,0dd0ecee-bb8c-494e-8720-74d5be5921a7,Course Information,3,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,3da79bf5-68ba-45f3-b983-a1274c2e59fe,Range Equipment,4,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,35bd0461-9cb3-4b77-94de-67f7f56a87af,Competitor Equipment,5,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,e7531529-0ec1-4b51-b9cc-66ec25496dbe,Match Structure,6,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,877e64c4-14e6-4844-97b3-3da3437f6bd2,Match Management,7,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,eae65a73-4038-49eb-ba91-c51fd9ca590a,The Course of Fire,8,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,e5d8a70a-cd17-432e-aa44-bbe4f91c526d,Scoring,9,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,51ee17e9-7f84-443a-9bf4-fdc4bd18f311,Penalties and Disqualifications,10,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,1c2d23c3-3dc5-455d-823e-01fafcc01921,Arbitration and Interpretation of Rules,11,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,a50bd0e4-4327-4cf0-b319-2f79c1224d74,Miscellaneous Matters,12,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,b43bd2d8-2c0d-4c4d-88e9-bc8a253ea6dc,,5.4.4,A competitor who inadvertently loses eye or ear protection during a course of fire~ or commences a course of fire without them~ is entitled to stop~ point their firearm in a safe direction and indicate the problem to the Range Officer~ in which case the provisions of the previous rule will apply.,90c608eb-f23d-4a26-8df9-7db859ec4d2f,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,af925598-cd1c-4e8b-b97b-ee8d6ad9c452,,5.4.5,Any attempt to gain a reshoot or advantage by removing eye and/or ear protection during a course of fire will be considered unsportsmanlike conduct (see Rule 10.6.2).,90c608eb-f23d-4a26-8df9-7db859ec4d2f,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,946e101f-c67d-4bf2-9368-19fe024ed10e,,5.4.6,If a Range Officer deems that a competitor about to make an attempt at a course of fire is wearing inadequate eye or ear protection~ the Range Officer may order the competitor to rectify the situation before allowing the competitor to continue. The Range Master is the final authority on this matter.,90c608eb-f23d-4a26-8df9-7db859ec4d2f,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,baf412fa-26ea-42d3-8d2a-6eb5c2ffd0b2,,5.5.1,Competitors at an IPSC match are solely and personally responsible for the safety of all and any ammunition~ which they bring to the match. Neither IPSC nor any IPSC Officers~ nor any organization affiliated to IPSC~ nor the officers of any organization affiliated to IPSC accepts any responsibility whatsoever in this regard~ nor in respect of any loss~ damage~ accident~ injury or death suffered by any person or entity as a result of the lawful or unlawful use of any such ammunition.,c34cdf34-80f1-4b5f-b8dd-5bed9a633ce7,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,702fedb9-1666-4d9c-b07d-15eb65636a48,,5.5.2,All competitor ammunition and their respective magazines and speed loaders must comply with the provisions of the relevant Division (see Appendix D).,c34cdf34-80f1-4b5f-b8dd-5bed9a633ce7,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,463feab6-3b96-4c78-925e-2b698341c5aa,,5.5.3,Spare magazines~ speed loaders or ammunition dropped or discarded by a competitor after the Start Signal may be retrieved. However~ their retrieval is~ at all times~ subject to all safety rules.,c34cdf34-80f1-4b5f-b8dd-5bed9a633ce7,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,1034e471-a1c6-4c54-97f2-f2ccc84706eb,,5.5.4,Metal piercing~ incendiary and/or tracer ammunition is prohibited at IPSC matches (see Rule 10.5.15).,c34cdf34-80f1-4b5f-b8dd-5bed9a633ce7,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,06fb54e9-45b7-4c0c-9a2c-4c59e4b93412,,5.5.5,Ammunition which discharges more than one bullet or other scoring projectile from a single round is prohibited (see Rule 10.5.15).,c34cdf34-80f1-4b5f-b8dd-5bed9a633ce7,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,e85ba5e4-f5b6-47e3-8c32-ffbda6bf523e,,5.5.6,Ammunition deemed unsafe by a Range Officer must be immediately withdrawn from the match (see Rule,c34cdf34-80f1-4b5f-b8dd-5bed9a633ce7,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,9aa4e74e-6825-4343-8cc7-ebe599aa3096,,5.6.1,The power factors for each Division are stipulated in Appendix D. One or more official match chronographs must be used to assist in the determination of the power factor of each competitor's ammunition. In the absence of chronographs~ the power factor declared by a competitor cannot be challenged.,2864a80d-12c1-477c-81de-2a1f98ea88be,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,adec13dd-1616-4c74-8d17-752a468cb682,,5.6.2,The chronograph must be properly set up in accordance with the manufacturer's recommendations and verified each day by Match Officials in the following manner:,2864a80d-12c1-477c-81de-2a1f98ea88be,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,42edd841-3ad8-4c87-a9ed-1e412490a59f,,5.6.3,Competitor Ammunition Testing Procedure,2864a80d-12c1-477c-81de-2a1f98ea88be,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,481eb14b-9838-4f53-a21a-4425a28a1ce4,,5.7.1,If a competitor's firearm malfunctions after the Start Signal~ the competitor may safely attempt to correct the problem and continue the course of fire. During such corrective action~ the competitor must keep the muzzle of the firearm pointing safely downrange at all times. The competitor must not use rods or other tools to verify or correct the malfunction. Violations will result in a zero score for the stage.,78fa31a5-5fa3-4b60-95cd-4d2740cc4be0,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,aeb3f9d9-7aca-4820-bac7-73e00c32b101,,5.7.2,While rectifying a malfunction that requires the competitor to clearly move the firearm away from aiming at,78fa31a5-5fa3-4b60-95cd-4d2740cc4be0,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,4614c579-c5b5-46e6-8466-9ec3c9f57a06,,5.7.3,In the event that a firearm malfunction cannot be corrected by the competitor within 2 minutes~ or if the competitor self-stops for any other reason~ he must point the firearm safely downrange and advise the Range Officer~ who will terminate the course of fire in the normal manner. The course of fire will be scored as shot including all applicable misses and penalties.,78fa31a5-5fa3-4b60-95cd-4d2740cc4be0,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,dbf8bce6-113a-4b03-9e9f-5dbb4d48b76d,,5.7.4,Under no circumstances is a competitor permitted to leave a course of fire in the possession of a loaded firearm (see Rule 10.5.13).,78fa31a5-5fa3-4b60-95cd-4d2740cc4be0,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,132db243-3833-4e4c-93c1-4ccd6a803bf3,,5.7.5,Where the firearm has failed as above~ the competitor must not be permitted to reshoot the course of fire. This includes instances where a firearm is declared unserviceable or unsafe during a course of fire (see Rule 5.1.6).,78fa31a5-5fa3-4b60-95cd-4d2740cc4be0,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,5599f548-626e-4eb7-a3e6-fe2719f579e7,,5.7.6,In the event that a Range Officer terminates a course of fire due to a suspicion that a competitor has an unsafe firearm or unsafe ammunition (e.g. a "squib" load)~ the Range Officer will take whatever steps he deems necessary to return both the competitor and the range to a safe condition. The Range Officer will then inspect the firearm or ammunition and proceed as follows:,78fa31a5-5fa3-4b60-95cd-4d2740cc4be0,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,0ac59967-64ce-47c0-aa68-3b5dca138601,,5.8.1,When match organizers make official match ammunition available for purchase by competitors at a match~ the Match Director must~ both in advance in official match literature (and/or on the official match website)~ and by way of a sign certified by him and posted at a conspicuous place at the point of sale~ clearly identify which manufacturer/brand~ specific cartridges and load descriptions are deemed to be rated~ by Division~ as either Minor or Major power factor~ as the case may be. The subject rounds will usually be exempt from Rule 5.6.3 testing by chronograph~ subject to the following conditions:,1042ff95-42b8-48c3-88ff-a19b3a4606b6,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,23e48263-a44d-4d3c-ae37-9760ffbd624a,,5.8.2,Where possible~ match organizers (or their nominated vendor at the match) should make available a test firing bay~ supervised by a Range Officer~ where competitors can function test a small quantity of official match ammunition of the same batch through their firearm(s) prior to purchase.,1042ff95-42b8-48c3-88ff-a19b3a4606b6,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,b8901e47-aac0-4d26-905b-247aa92701e8,,6.1.1,Course Of Fire (also "course" and "COF") � A separately timed and scored IPSC shooting challenge~ conceptualized and constructed in accordance with IPSC principles of course design~ containing targets and challenges which each competitor must safely negotiate.,b4b0149d-c7bd-47dc-9fb9-52859123dd96,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,4c2b4ba2-09e9-456c-b078-f47a6a7dd765,Stage,6.1.2,A portion of an IPSC match containing one course of fire and related supporting facilities~ amenities~ shelter and signage. A stage must use one type of firearm (e.g. handgun~ rifle or shotgun) exclusively.,b4b0149d-c7bd-47dc-9fb9-52859123dd96,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,fc89e5a6-b37c-4f1d-aeb4-7761c1a28f43,Match,6.1.3,Consists of a minimum of 3 stages where all stages use the same type of firearm. The total sum of individual stage results will be accumulated to declare a match winner.,b4b0149d-c7bd-47dc-9fb9-52859123dd96,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,6f7aec9a-51f5-4fb1-bbb9-31ed2ccada6e,Tournament,6.1.4,A special match where individual stages are assigned to one particular type of firearm (e.g. Stages 1-4 Handgun~ Stages 5-8 Rifle~ Stages 9-12 Shotgun). The total sum of individual stage results will be accumulated to declare a tournament winner.,b4b0149d-c7bd-47dc-9fb9-52859123dd96,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,23faf34d-b6a6-43f3-a868-a7a8c571d5dd,Grand Tournament,6.1.5,Consists of two or more firearm specific matches (e.g. a handgun match and a shotgun match~ or a handgun match~ a rifle match and a shotgun match). The individual match results achieved by a competitor in each component match will be used to declare an overall tournament winner~ in accordance with the IPSC Grand Tournament Rules.,b4b0149d-c7bd-47dc-9fb9-52859123dd96,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,156eccc4-e32d-431c-bb31-7a52457e5774,League,6.1.6,Consists of two or more IPSC matches of a single firearm type held at different locations and on different dates. The total sum of match results attained by each competitor at component matches specified by the league organizers will be accumulated to determine a league winner.,b4b0149d-c7bd-47dc-9fb9-52859123dd96,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,54306a3e-47b8-4261-8f19-685c891f48b6,,6.1.7,A Region affiliated to IPSC cannot actively or passively sanction a shooting match of any type or format within the geographical boundaries of another Region without the advance and written approval of the Regional Director of the Region where the match is to be held. A Region in violation is subject to Section 5.9 of the IPSC Constitution.,b4b0149d-c7bd-47dc-9fb9-52859123dd96,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,befcda2a-061e-41d5-adb8-04c60a7b16de,,6.2.1,IPSC Divisions recognize different firearms and equipment (see Appendix D). Each match must recognize at least one Division. When multiple Divisions are available in a match~ each Division must be scored separately and independently~ and match results must recognize a winner in each Division.,33d7b74a-78da-4554-956b-0c7353543af4,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,7db85903-2c44-45c6-986e-993d02f7fd91,,6.2.2,In IPSC sanctioned matches~ the minimum number of competitors stipulated in Appendix A2 must compete in each Division for it to be recognized. If there are insufficient competitors in a Division~ the Match Director may allow that Division to stand without official IPSC recognition.,33d7b74a-78da-4554-956b-0c7353543af4,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,b3281ec0-c94e-4b76-ac86-1b6aeea5646a,,6.2.3,Prior to the commencement of a match~ each competitor must declare one Division for score~ and Match Officials should check competitor equipment compliance with the declared Division~ prior to the competitor making an attempt at any of the courses of fire. This is a service to assist competitors verify that their equipment~ in the configuration as presented~ is in compliance with their declared Division. However~ competitors always remain subject to the provisions of Rule 6.2.5.1.,33d7b74a-78da-4554-956b-0c7353543af4,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,a068203c-447f-43e7-b596-c311dbf32d2f,,6.2.4,Subject to the prior approval of the Match Director~ a competitor may enter a match in more than one Division. However~ the competitor may compete for score in only one Division~ and that must be the first attempt in all cases. Any subsequent attempts in another Division will not be entered into match results nor count for match recognition and awards.,33d7b74a-78da-4554-956b-0c7353543af4,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,1cbb586d-1c98-492e-993a-2372f6aa4cd1,,6.2.5,Where a Division is unavailable or deleted~ or where a competitor fails to declare a specific Division prior to the commencement of a match~ the competitor will be placed in the Division which~ in the opinion of the Range Master~ most closely identifies with the competitor's equipment. If~ in the opinion of the Range Master~ no suitable Division is available~ the competitor will shoot the match for no score.,33d7b74a-78da-4554-956b-0c7353543af4,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,7a910a5e-debf-4e07-ba0d-441ef8c2d6c2,,6.2.6,A disqualification incurred by a competitor~ at any time during a match~ will prevent the competitor from further participation in the match including any subsequent attempts in another Division. However~ this is not retroactive. Any previous and complete scores from another Division will be entered into match results for recognition and awards in that Division.,33d7b74a-78da-4554-956b-0c7353543af4,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,506fbd35-85aa-4098-8c79-367ee4eca7e0,,6.2.7,Recognition of a competitor in a specific Division will not preclude further recognition in a Category or from inclusion as member of a Regional or other team.,33d7b74a-78da-4554-956b-0c7353543af4,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,188d2c50-2dd0-4307-b046-241b340b2f75,,6.3.1,IPSC matches may include different Categories within each Division to recognize different groups of competitors. A competitor may declare only one Category for a match or tournament.,b30825ba-df56-4383-aaec-36ef34808beb,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,3a86ac7f-5935-4d5a-b30b-5fad03aff22e,,6.3.2,Failure to meet the requirements of the declared Category or failure to declare a Category prior to the start of the match will result in exclusion from that Category. Details of currently approved Categories and related requirements are listed in Appendix A2.,b30825ba-df56-4383-aaec-36ef34808beb,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,bc846720-de51-41ef-8ac8-95322ae29e3f,,6.4.1,Subject to the availability of allocated slots~ only one official Regional team in each Division and/or Division/Category may be selected on merit by each Region for IPSC Level IV or higher matches. Approved Category teams are specified by the IPSC Assembly (see Appendix A2).,96397c97-a4df-4ca8-9fda-9c73d841c555,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,c08f8f16-41e2-41d5-bddb-ff3b64bb53e8,,6.4.2,An individual competitor's scores can only be used exclusively for a single team in a match~ and each team must be comprised of competitors in the same Division.,96397c97-a4df-4ca8-9fda-9c73d841c555,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,56fda00d-f873-4c84-8629-8264f04113b1,,6.4.3,Teams consist of a maximum of 4 members. However~ only the final scores of the 3 highest scoring team members will be used to calculate team results.,96397c97-a4df-4ca8-9fda-9c73d841c555,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,a52e3ec7-e873-429b-807f-c911de0d3c46,,6.4.4,If a member of a team retires from the match for any reason before completing all of the stages~ scores attained by that competitor will continue to stand towards the team score. However~ the affected team is not entitled to replace the retired team member.,96397c97-a4df-4ca8-9fda-9c73d841c555,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,ac33d02b-f1db-458e-960a-6ed0454ae6b4,,6.4.5,A team member who is unable to commence a match may be replaced prior to commencement by another competitor~ subject to the approval of the Match Director.,96397c97-a4df-4ca8-9fda-9c73d841c555,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,59586ff7-029f-44a3-8974-b4e1525aafaa,,6.4.6,If a member of a team is disqualified from a match~ the disqualified member's scores will revert to zero for all stages. Teams will not be entitled to replace a disqualified team member.,96397c97-a4df-4ca8-9fda-9c73d841c555,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,24443757-bbcd-4e8a-b390-50a7f3f816e9,,6.5.1,All competitors and Match Officials must be individual members of the IPSC Region in which they normally reside. Residency is defined as the Region where the individual is ordinarily domiciled for a minimum of 183 days of the twelve months immediately preceding the month in which the match begins. Ordinarily domiciled condition is a physical presence test and does not relate to citizenship or to any address of convenience. The 183 days need not be consecutive or the most recent 183 days of the twelve month period.,60af160e-a8b3-4707-9453-c863bfafa400,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,a314c922-a486-4d3d-97ef-f7c55731af70,,6.5.2,A competitor and/or team member may represent only the IPSC Region in which they reside~ except as follows:,60af160e-a8b3-4707-9453-c863bfafa400,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,84076f74-a18f-43c9-a61e-60bef24e5bab,,6.5.3,At Regional and Continental Championships~ only competitors who satisfy the residency requirements stated in Rule 6.5.1 are entitled to be recognized as the Regional or Continental Champion~ by Division and/or by Division/Category~ as the case may be. However~ when determining Regional or Continental Champions~ match results of competitors from outside the applicable Region or Continent must not be deleted from the match results~ which must remain wholly intact. For example:,60af160e-a8b3-4707-9453-c863bfafa400,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,8a1b6bb8-987b-4047-b77b-1f94099dfa9a,,6.6.1,Competitors must compete for score according to the published match and squadding schedule. A competitor who is not present at the scheduled time and date for any stage may not attempt that stage without the prior approval of the Match Director~ failing which the competitor's score for that stage will be zero.,e4a07760-abb4-4aad-95bf-54a91164bd80,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,67abb6f9-4618-4fbe-93c0-a2714d9ac5f8,,6.6.2,Only Match Officials (approved by the Range Master)~ match sponsors~ IPSC Patrons and dignitaries (approved by the Match Director)~ who are members in good standing of their Region of residence~ and IPSC Officers (as defined in Section 6.1 of the IPSC Constitution)~ may compete in a pre-match. Scores attained in the pre-match will be included in the overall match results provided dates of the pre-match are published in advance in the official match schedule. Competitors in the main match must not be restricted from viewing the pre-match.,e4a07760-abb4-4aad-95bf-54a91164bd80,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,cb495323-e249-4245-b67f-86f181119098,,6.6.3,A match~ tournament or league will be deemed to have started on the first day that competitors (including those specified above) shoot for score and will be deemed to have ended when the results have been declared final by the Match Director.,e4a07760-abb4-4aad-95bf-54a91164bd80,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,3f1bb2cc-e953-4c9d-b84d-21064faa3f70,,6.7.1,The IPSC Executive Council may coordinate and publish dedicated regulations and procedures in order to manage and administer an International Classification System.,43ab77d4-fb20-4030-b8c0-18f90ff16f0c,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,c0163442-7d4a-4098-b58b-3d23ce8ae172,,6.7.2,Competitors seeking an international classification must use the approved courses of fire available from the IPSC website.,43ab77d4-fb20-4030-b8c0-18f90ff16f0c,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,404c1c48-5cf5-4e89-8d98-1349364ce004,,7.1.1,Range Officer ("RO") � Issues range commands~ oversees competitor compliance with the written stage briefing and closely monitors safe competitor action. He also declares the time~ scores and penalties achieved by each competitor and verifies that these are correctly recorded on the competitor's score sheet (under the authority of a Chief Range Officer and Range Master).,349deb32-105a-4ba3-aca4-127b0c1557c8,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,345a15e5-e6f5-4d81-9a32-0489003b120d,,7.1.2,Chief Range Officer ("CRO") � Is the primary authority over all persons and activities in the courses of fire under his control~ and oversees the fair~ correct and consistent application of these rules (under the direct authority of the Range Master).,349deb32-105a-4ba3-aca4-127b0c1557c8,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,b5ff9044-4735-44a8-800c-923dadc941cd,,7.1.3,Stats Officer ("SO") � Supervises the stats room team~ which collects~ sorts~ verifies~ tabulates and retains all score sheets and ultimately produces provisional and final results (under the direct authority of the Range Master).,349deb32-105a-4ba3-aca4-127b0c1557c8,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,c4fad4f9-b7ee-4c64-8bce-a9cc331c1b97,,7.1.4,Quartermaster ("QM") � Distributes~ repairs and maintains all range equipment (e.g. targets~ patches~ paint~ props etc.)~ other range needs (e.g. timers~ batteries~ staplers~ staples~ clipboards etc.) and replenishes Range Officer refreshments (under the direct authority of the Range Master).,349deb32-105a-4ba3-aca4-127b0c1557c8,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,78281e81-c75a-43df-847e-a09bfed07641,,7.1.5,Range Master ("RM") � Has overall authority over all persons and activities within the entire range~ including range safety~ the operation of all courses of fire and the application of these rules. All disqualifications and appeals to arbitration must be brought to his attention. The Range Master is usually appointed by and works with the Match Director. However~ in respect of IPSC sanctioned Level IV or higher matches~ the appointment of the Range Master is subject to the prior written approval of the IPSC Executive Council.,349deb32-105a-4ba3-aca4-127b0c1557c8,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,831c2750-124a-4551-8a12-f05b638ab790,,7.1.6,Match Director ("MD") � Handles overall match administration including squadding~ scheduling~ range construction~ the coordination of all support staff and the provision of services. His authority and decisions will prevail with regard to all matters except in respect of matters in these rules which are the domain of the Range Master. The Match Director is appointed by the host organization and works with the Range Master.,349deb32-105a-4ba3-aca4-127b0c1557c8,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,fad20589-6288-477e-ab00-8aa8c3d2e930,,7.2.1,The Range Master has authority over all Match Officials other than the Match Director (except when the Match Director is actually participating as a competitor at the match)~ and is responsible for decisions in matters concerning conduct and discipline.,4c9c0652-4058-447e-aefa-19e1dd65ee95,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,98907ee3-2513-4684-93a6-e5c8c1b7073b,,7.2.2,In the event that a Match Official is disciplined~ the Range Master must send a report of the incident and details of the disciplinary action to the Match Official's Regional Director~ the Regional Director of the Region hosting the match~ and to the President of the International Range Officers Association (IROA).,4c9c0652-4058-447e-aefa-19e1dd65ee95,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,261c648f-1fd4-4f2e-9bc7-45f77f87bdc3,,7.2.3,A Match Official who is disqualified from a match for a safety infraction while competing will continue to be eligible to serve as a Match Official for the match. The Range Master will make any decision related to an official's participation.,4c9c0652-4058-447e-aefa-19e1dd65ee95,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,c66d0ea7-4dbe-48c8-b672-6799bb1a2ff1,,7.3.1,Match organizers must~ prior to commencement of a match~ appoint a Match Director and a Range Master to carry out the duties detailed in these rules. The nominated Range Master should preferably be the most competent and experienced certified Match Official present (also see Rule 7.1.5). For Level I and II matches a single person may be appointed to be both the Match Director and the Range Master.,fb4047e3-4c26-4a84-bce4-285bea7d897b,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,5f7b1ea7-7ecc-4281-8759-937fb39bfd0e,,7.3.2,References in these rules to Match Officials (e.g. "Range Officer"~ "Range Master" etc.)~ mean personnel who have been officially appointed by match organizers to actually serve in an official capacity at the match. Persons who are certified Match Officials~ but who are actually participating in the match as regular competitors~ have no standing or authority as Match Officials for that match. Such persons should therefore not participate in the match wearing garments bearing Match Official insignia.,fb4047e3-4c26-4a84-bce4-285bea7d897b,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,d7b51f6e-349c-427c-a291-2e4e7d56292f,,7.3.3,A person acting as a Match Official is prohibited from having a holstered firearm while directly accompanying and timing a competitor during his attempt at a COF. Violations are subject to Rule 7.2.2.,fb4047e3-4c26-4a84-bce4-285bea7d897b,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,619dcdfb-7f0f-4df9-b638-892a605733cc,,8.1.1,Revolvers:,411fe944-1b85-4f5e-bf98-0db5e4c4166b,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,735e2c02-d85e-42ad-958e-0a2dd3913e41,,8.1.2,Self-loading Pistols:,411fe944-1b85-4f5e-bf98-0db5e4c4166b,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,bfb7e1a6-22db-4e67-9826-53a41ebe76b6,,8.1.3,If a course of fire requires that a self-loading pistol be prepared with an empty chamber~ the slide must be fully forward and the hammer~ if fitted~ must be fully down or decocked (also see Rule 8.1.1.2).,411fe944-1b85-4f5e-bf98-0db5e4c4166b,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,547008a7-b29e-4d23-be0e-53dd77e53710,,8.1.4,Unless complying with a Division requirement (see Appendix D)~ a competitor must not be restricted on the number of rounds to be loaded or reloaded in a handgun. Written stage briefings may only stipulate when the firearm is to be loaded or when mandatory reloads are required~ when permitted under Rule 1.1.5.2.,411fe944-1b85-4f5e-bf98-0db5e4c4166b,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,bd700b45-6be7-4a17-b45c-ab22697294ff,,8.1.5,In respect of handguns used at IPSC matches~ the following definitions apply:,411fe944-1b85-4f5e-bf98-0db5e4c4166b,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,3c45fb5f-bf64-43c7-a12e-12480f7539fe,,8.2.1,The handgun is prepared as specified in the written stage briefing~ and is in compliance with the requirements of the relevant Division.,72d11e9e-0afc-40c3-b417-85b34dd45d2d,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,8110d25a-7c7a-4dca-852c-c32dd010197b,,8.2.2,The competitor assumes the start position as specified in the written stage briefing. Unless otherwise specified~ the competitor must stand erect~ facing downrange~ with the handgun loaded and holstered~ and arms hanging naturally by the sides (see Appendix E2). A competitor who attempts or completes a course of fire where an incorrect start position was used may be required by a Range Officer to reshoot the course of fire.,72d11e9e-0afc-40c3-b417-85b34dd45d2d,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,174fd8e1-f8f1-4766-a777-c07855c2f129,,8.2.3,A course of fire must never require or allow a competitor to touch or hold a handgun~ loading device or ammunition after the "Standby" command and before the Start Signal (except for unavoidable touching with the lower arms).,72d11e9e-0afc-40c3-b417-85b34dd45d2d,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,6157a5fc-3198-4ecf-bbd4-27ca36c94d05,,8.2.4,A course of fire must never require the competitor to draw a handgun from the holster with the weak hand.,72d11e9e-0afc-40c3-b417-85b34dd45d2d,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,215a2cb0-be19-4055-82de-41ed2234c9ed,,8.2.5,A course of fire must never require the competitor to re-holster a handgun after the Start Signal. However~ a competitor may re-holster provided this is accomplished safely~ and the handgun is either unloaded or in a ready condition stated in Section 8.1. Violations will be subject to disqualification (see Rule 10.5.11).,72d11e9e-0afc-40c3-b417-85b34dd45d2d,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
