DISCIPLINE,3700a212-379c-481f-8f83-411e39ef933e,Rifle
CHAPTER,0997cc5b-cd44-4538-8e8f-ceecb847e225,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,3364ea61-7afa-47d4-8a74-097dcda9782d,Range and Course Construction,2,The following general regulations of course construction list the criteria~ responsibilities and restrictions applicable to courses of fire in IPSC matches. Course Designers~ host organizations and officials are governed by these regulations. ,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,1510b2a4-c144-4b89-8738-99db16ed0645,Course Information,3,,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,ed8f1157-49a5-4818-a070-d0382b5295fd,Range Equipment,4,,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,66f3c913-adfa-4e0a-8b9d-34acc3fdaaed,Competitor Equipment,5,,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,a78afaff-fb32-4bd0-b4ca-adc0d4337ffb,Match Structure,6,,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,bcd268aa-65a3-48c4-96ba-b7bd784767d8,Match Management,7,,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,71474aaf-f746-4dc2-9bce-f2a68650bf00,The Course of Fire,8,,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,37751464-065d-44d3-b43b-5f0c09f3e5be,Scoring,9,,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,6e8abd5c-7085-46cf-8413-964c5c31da97,Penalties and Disqualifications,10,,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,59a57a35-9fb6-40f7-98fe-a7c57fdbfc87,Arbitration and Interpretation of Rules,11,,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,2b864bac-666b-40d4-972d-c115293937cb,Miscellaneous Matters,12,,3700a212-379c-481f-8f83-411e39ef933e
RULE,a80d833f-5010-4574-a3ba-c109d4f536b4,,5.5.4,Metal piercing~ incendiary and/or tracer ammunition is prohibited at IPSC matches (see Rule 10.5.15). "Penetrator" ammunition (e.g. with a penetrating core) can only be used if specifically permitted by the match organizers.,5145f52f-ae36-433e-b7e4-2e536dffb2a1,3700a212-379c-481f-8f83-411e39ef933e
RULE,6ba70e60-3622-4d73-a693-998ac8e4e57a,,5.5.5,Ammunition which discharges more than one bullet or other scoring projectile from a single round is prohibited (see Rule 10.5.15).,5145f52f-ae36-433e-b7e4-2e536dffb2a1,3700a212-379c-481f-8f83-411e39ef933e
RULE,b07c844e-887d-435e-acdf-b146709d691a,,5.5.6,Ammunition deemed unsafe by a Range Officer must be immediately withdrawn from the match (see Rule 10.5.15).,5145f52f-ae36-433e-b7e4-2e536dffb2a1,3700a212-379c-481f-8f83-411e39ef933e
RULE,c4332068-db96-4968-a68f-d95d469b9882,,5.6.1,The power factors for each Division are stipulated in Appendix D. One or more official match chronographs must be used to assist in the determination of the power factor of each competitor's ammunition. In the absence of chronographs~ the power factor declared by a competitor cannot be challenged.,7ffdd288-cea0-4a41-91f2-1a3c9f03cbe9,3700a212-379c-481f-8f83-411e39ef933e
RULE,38af2456-eecd-4c92-9e41-9053d667a48d,,5.6.2,The chronograph must be properly set up in accordance with the manufacturer's recommendations and verified each day by Match Officials in the following manner:,7ffdd288-cea0-4a41-91f2-1a3c9f03cbe9,3700a212-379c-481f-8f83-411e39ef933e
RULE,d536b4f1-db84-4b04-80e2-b1c7f0a14c62,,5.6.3,Competitor Ammunition Testing Procedure,7ffdd288-cea0-4a41-91f2-1a3c9f03cbe9,3700a212-379c-481f-8f83-411e39ef933e
RULE,296f1c86-f8b9-49e8-9933-49255169c78e,,5.7.1,If a competitor's firearm malfunctions after the Start Signal~ the competitor may safely attempt to correct the problem and continue the course of fire. During such corrective action~ the competitor must keep the muzzle of the firearm pointing safely downrange at all times. The competitor must not use rods or other tools to verify or correct the malfunction. Violations will result in a zero score for the stage.,1a856d32-c064-4565-90ed-65ffad978681,3700a212-379c-481f-8f83-411e39ef933e
RULE,5a1e4032-07f0-4fc2-a92a-2a35135b2c32,,5.7.2,While rectifying a malfunction that requires the competitor to clearly move the firearm away from aiming at a target~ the competitor's fingers must be clearly visible outside the trigger guard (see Rule 10.5.8).,1a856d32-c064-4565-90ed-65ffad978681,3700a212-379c-481f-8f83-411e39ef933e
RULE,265f8a37-d004-4915-9721-9a3cdb91d441,,5.7.3,In the event that a firearm malfunction cannot be corrected by the competitor within 2 minutes~ or if the competitor self-stops for any other reason~ he must point the firearm safely downrange and advise the Range Officer~ who will terminate the course of fire in the normal manner. The course of fire will be scored as shot including all applicable misses and penalties.,1a856d32-c064-4565-90ed-65ffad978681,3700a212-379c-481f-8f83-411e39ef933e
RULE,ff48a955-623b-414c-ab72-31cac9e154ac,,5.7.4,Under no circumstances is a competitor permitted to leave a course of fire in the possession of a loaded firearm (see Rule 10.5.13).,1a856d32-c064-4565-90ed-65ffad978681,3700a212-379c-481f-8f83-411e39ef933e
RULE,6a11adc6-a8c2-43c4-8b9f-f6c9c64612b4,,5.7.5,Where the firearm has failed as above~ the competitor must not be permitted to reshoot the course of fire. This includes instances where a firearm is declared unserviceable or unsafe during a course of fire (see Rule 5.1.6).,1a856d32-c064-4565-90ed-65ffad978681,3700a212-379c-481f-8f83-411e39ef933e
RULE,00604268-34bc-46bd-9b30-e61837cadf85,,5.7.6,In the event that a Range Officer terminates a course of fire due to a suspicion that a competitor has an unsafe firearm or unsafe ammunition (e.g. a "squib" load)~ the Range Officer will take whatever steps he deems necessary to return both the competitor and the range to a safe condition. The Range Officer will then inspect the firearm or ammunition and proceed as follows:,1a856d32-c064-4565-90ed-65ffad978681,3700a212-379c-481f-8f83-411e39ef933e
RULE,b0c8aaee-8bb7-4e1b-8d5c-81826b9ba317,,5.8.1,When match organizers make official match ammunition available for purchase by competitors at a match~ the Match Director must~ both in advance in official match literature (and/or on the official match website)~ and by way of a sign certified by him and posted at a conspicuous place at the point of sale~ clearly identify which manufacturer/brand~ specific cartridges and load descriptions are deemed to be rated~ by Division~ as either Minor or Major power factor~ as the case may be. The subject rounds will usually be exempt from Rule 5.6.3 testing by chronograph~ subject to the following conditions:,91cb5a03-a0fb-415d-b4c3-a821b3a95805,3700a212-379c-481f-8f83-411e39ef933e
RULE,5341c5e5-29e6-4e53-a36d-69496e678f97,,5.8.2,Where possible~ match organizers (or their nominated vendor at the match) should make available a test firing bay~ supervised by a Range Officer~ where competitors can function test a small quantity of official match ammunition of the same batch through their firearm(s) prior to purchase.,91cb5a03-a0fb-415d-b4c3-a821b3a95805,3700a212-379c-481f-8f83-411e39ef933e
RULE,ea48b8bb-1d4f-4331-b3c1-eb84f1e311cf,,6.1.1,Course Of Fire (also "course" and "COF") � A separately timed and scored IPSC shooting challenge~ conceptualized and constructed in accordance with IPSC principles of course design~ containing targets and challenges which each competitor must safely negotiate.,be93dede-4d0a-4562-8c9b-b5a654b7c5c9,3700a212-379c-481f-8f83-411e39ef933e
RULE,886b1f80-7654-4b92-837e-ea39d98ff2ed,Stage,6.1.2,A portion of an IPSC match containing one course of fire and related supporting facilities~ amenities~ shelter and signage. A stage must use one type of firearm (e.g. handgun~ rifle or shotgun) exclusively.,be93dede-4d0a-4562-8c9b-b5a654b7c5c9,3700a212-379c-481f-8f83-411e39ef933e
RULE,1d32cee3-bd4e-46fc-a75d-b0bd2901e901,Match,6.1.3,Consists of a minimum of 3 stages where all stages use the same type of firearm. The total sum of individual stage results will be accumulated to declare a match winner.,be93dede-4d0a-4562-8c9b-b5a654b7c5c9,3700a212-379c-481f-8f83-411e39ef933e
RULE,4f92e082-805a-428e-be46-cf157dbe1121,Tournament,6.1.4,A special match where individual stages are assigned to one particular type of firearm (e.g. Stages 1-4 Handgun~ Stages 5-8 Rifle~ Stages 9-12 Shotgun). The total sum of individual stage results will be accumulated to declare a tournament winner.,be93dede-4d0a-4562-8c9b-b5a654b7c5c9,3700a212-379c-481f-8f83-411e39ef933e
RULE,53f9067a-70aa-482b-b2fd-f9336a56902f,Grand Tournament,6.1.5,Consists of two or more firearm specific matches (e.g. a handgun match and a shotgun match~ or a handgun match~ a rifle match and a shotgun match). The individual match results achieved by a competitor in each component match will be used to declare an overall tournament winner~ in accordance with the IPSC Grand Tournament Rules.,be93dede-4d0a-4562-8c9b-b5a654b7c5c9,3700a212-379c-481f-8f83-411e39ef933e
RULE,2830b0e3-8951-4c10-98b0-bb435d61cf72,League,6.1.6,Consists of two or more IPSC matches of a single firearm type held at different locations and on different dates. The total sum of match results attained by each competitor at component matches specified by the league organizers will be accumulated to determine a league winner.,be93dede-4d0a-4562-8c9b-b5a654b7c5c9,3700a212-379c-481f-8f83-411e39ef933e
RULE,5487566a-f18f-40ed-b4ed-b460734c04b1,,6.1.7,A Region affiliated to IPSC cannot actively or passively sanction a shooting match of any type or format within the geographical boundaries of another Region without the advance and written approval of the Regional Director of the Region where the match is to be held. A Region in violation is subject to Section 5.9 of the IPSC Constitution.,be93dede-4d0a-4562-8c9b-b5a654b7c5c9,3700a212-379c-481f-8f83-411e39ef933e
RULE,538eafbf-1463-4401-a510-a8b64a27977f,,6.2.1,IPSC Divisions recognize different firearms and equipment (see Appendix D). Each match must recognize at least one Division. When multiple Divisions are available in a match~ each Division must be scored separately and independently~ and match results must recognize a winner in each Division.,3e244e48-9a26-4e1b-b327-9b78a811af3f,3700a212-379c-481f-8f83-411e39ef933e
RULE,f950d359-7bcb-400a-8b77-19f6c143ea4e,,6.2.2,In IPSC sanctioned matches~ the minimum number of competitors stipulated in Appendix A2 must compete in each Division for it to be recognized. If there are insufficient competitors in a Division~ the Match Director may allow that Division to stand without official IPSC recognition.,3e244e48-9a26-4e1b-b327-9b78a811af3f,3700a212-379c-481f-8f83-411e39ef933e
RULE,49e061b2-2a26-4581-899c-606792ed2d20,,6.2.3,Prior to the commencement of a match~ each competitor must declare one Division for score~ and Match Officials should check competitor equipment compliance with the declared Division~ prior to the competitor making an attempt at any of the courses of fire. This is a service to assist competitors verify that their equipment~ in the configuration as presented~ is in compliance with their declared Division. However~ competitors always remain subject to the provisions of Rule 6.2.5.1.,3e244e48-9a26-4e1b-b327-9b78a811af3f,3700a212-379c-481f-8f83-411e39ef933e
RULE,cc66ea4b-74bc-4970-bf54-b19c68270900,,6.2.4,Subject to the prior approval of the Match Director~ a competitor may enter a match in more than one Division. However~ the competitor may compete for score in only one Division~ and that must be the first attempt in all cases. Any subsequent attempts in another Division will not be entered into match results nor count for match recognition and awards.,3e244e48-9a26-4e1b-b327-9b78a811af3f,3700a212-379c-481f-8f83-411e39ef933e
RULE,0dd76df4-0bbc-458a-954f-b53372b1b5f1,,6.2.5,Where a Division is unavailable or deleted~ or where a competitor fails to declare a specific Division prior to the commencement of a match~ the competitor will be placed in the Division which~ in the opinion of the Range Master~ most closely identifies with the competitor's equipment. If~ in the opinion of the Range Master~ no suitable Division is available~ the competitor will shoot the match for no score.,3e244e48-9a26-4e1b-b327-9b78a811af3f,3700a212-379c-481f-8f83-411e39ef933e
RULE,decd07b6-2bc7-491c-b167-8aa643ce0db8,,6.2.6,A disqualification incurred by a competitor~ at any time during a match~ will prevent the competitor from further participation in the match including any subsequent attempts in another Division. However~ this is not retroactive. Any previous and complete scores from another Division will be entered into match results for recognition and awards in that Division.,3e244e48-9a26-4e1b-b327-9b78a811af3f,3700a212-379c-481f-8f83-411e39ef933e
RULE,aa2866f0-bab6-4e15-b0ea-2201d05ba897,,6.2.7,Recognition of a competitor in a specific Division will not preclude further recognition in a Category or from inclusion as member of a Regional or other team.,3e244e48-9a26-4e1b-b327-9b78a811af3f,3700a212-379c-481f-8f83-411e39ef933e
RULE,9174a101-c6a8-4738-8ab2-4ad7014ec986,,6.3.1,IPSC matches may include different Categories within each Division to recognize different groups of competitors. A competitor may declare only one Category for a match or tournament.,59af96c8-d193-416d-955b-38b2c59bd7aa,3700a212-379c-481f-8f83-411e39ef933e
RULE,03f45f96-a760-46f3-a56b-83a2f3b34964,,6.3.2,Failure to meet the requirements of the declared Category or failure to declare a Category prior to the start of the match will result in exclusion from that Category. Details of currently approved Categories and related requirements are listed in Appendix A2.,59af96c8-d193-416d-955b-38b2c59bd7aa,3700a212-379c-481f-8f83-411e39ef933e
RULE,7ebe120a-56db-4aff-9b53-7ddf1399bffd,,6.4.1,Subject to the availability of allocated slots~ only one official Regional team in each Division and/or Division/Category may be selected on merit by each Region for IPSC Level IV or higher matches. Approved Category teams are specified by the IPSC Assembly (see Appendix A2).,46ee766e-1a42-4328-b488-17bbfaa8c4bb,3700a212-379c-481f-8f83-411e39ef933e
RULE,2648b7e5-ba15-443f-83ef-6018fc1ae115,,6.4.2,An individual competitor�s scores can only be used exclusively for a single team in a match~ and each team must be comprised of competitors in the same Division.,46ee766e-1a42-4328-b488-17bbfaa8c4bb,3700a212-379c-481f-8f83-411e39ef933e
RULE,5e220044-1633-4bae-9681-f93608dc9168,,6.4.3,Teams consist of a maximum of 4 members. However~ only the final scores of the 3 highest scoring team members will be used to calculate team results.,46ee766e-1a42-4328-b488-17bbfaa8c4bb,3700a212-379c-481f-8f83-411e39ef933e
RULE,08f6d8a6-7915-459e-87ed-fb6823413a61,,6.4.4,If a member of a team retires from the match for any reason before completing all of the stages~ scores attained by that competitor will continue to stand towards the team score. However~ the affected team is not entitled to replace the retired team member.,46ee766e-1a42-4328-b488-17bbfaa8c4bb,3700a212-379c-481f-8f83-411e39ef933e
RULE,4b4438bd-c327-45d1-9d0b-63641d46c7c9,,6.4.5,A team member who is unable to commence a match may be replaced prior to commencement by another competitor~ subject to the approval of the Match Director.,46ee766e-1a42-4328-b488-17bbfaa8c4bb,3700a212-379c-481f-8f83-411e39ef933e
RULE,97af7bdb-1c11-4cd6-8b93-1b82a999c0bf,,6.4.6,If a member of a team is disqualified from a match~ the disqualified member�s scores will revert to zero for all stages. Teams will not be entitled to replace a disqualified team member.,46ee766e-1a42-4328-b488-17bbfaa8c4bb,3700a212-379c-481f-8f83-411e39ef933e
RULE,8a3ab1ec-ab23-4944-9e41-c3247eabeb44,,6.5.1,All competitors and Match Officials must be individual members of the IPSC Region in which they normally reside. Residency is defined as the Region where the individual is ordinarily domiciled for a minimum of 183 days of the twelve months immediately preceding the month in which the match begins. Ordinarily domiciled condition is a physical presence test and does not relate to citizenship or to any address of convenience. The 183 days need not be consecutive or the most recent 183 days of the twelve month period.,fb233d24-c988-4b2a-bcb7-f67cb27966e9,3700a212-379c-481f-8f83-411e39ef933e
RULE,73ee9172-e2cf-419f-b11d-41a694850980,,6.5.2,A competitor and/or team member may represent only the IPSC Region in which they reside~ except as follows:,fb233d24-c988-4b2a-bcb7-f67cb27966e9,3700a212-379c-481f-8f83-411e39ef933e
RULE,c000bbc4-a9d4-4be8-bc91-c0a01ea98ce3,,6.5.3,At Regional and Continental Championships~ only competitors who satisfy the residency requirements stated in Rule 6.5.1 are entitled to be recognized as the Regional or Continental Champion~ by Division and/or by Division/Category~ as the case may be. However~ when determining Regional or Continental Champions~ match results of competitors from outside the applicable Region or Continent must not be deleted from the match results~ which must remain wholly intact. For example:,fb233d24-c988-4b2a-bcb7-f67cb27966e9,3700a212-379c-481f-8f83-411e39ef933e
RULE,78775ffc-d034-4244-9b50-5d8e8e36f11a,,6.6.1,Competitors must compete for score according to the published match and squadding schedule. A competitor who is not present at the scheduled time and date for any stage may not attempt that stage without the prior approval of the Match Director~ failing which the competitor's score for that stage will be zero.,f832e4de-532f-4bdf-b094-00caa32b99e3,3700a212-379c-481f-8f83-411e39ef933e
RULE,22e48cbe-493c-4975-8b67-15d2798bf2c4,,6.6.2,Only Match Officials (approved by the Range Master)~ match sponsors~ IPSC Patrons and dignitaries (approved by the Match Director)~ who are members in good standing of their Region of residence~ and IPSC Officers (as defined in Section 6.1 of the IPSC Constitution) may compete in a pre-match. Scores attained in the pre-match will be included in the overall match results provided dates of the pre-match are published in advance in the official match schedule. Competitors in the main match must not be restricted from viewing the pre-match.,f832e4de-532f-4bdf-b094-00caa32b99e3,3700a212-379c-481f-8f83-411e39ef933e
RULE,14691f1f-331c-412c-aa2c-18f289cd04df,,6.6.3,A match~ tournament or league will be deemed to have started on the first day that competitors (including,f832e4de-532f-4bdf-b094-00caa32b99e3,3700a212-379c-481f-8f83-411e39ef933e
RULE,cc5de8f8-6fb0-4a15-899f-71908cee7a77,,6.7.1,The IPSC Executive Council may coordinate and publish dedicated regulations and procedures in order to manage and administer an International Classification System.,fac11a06-ca7b-4843-9113-b26c8affb717,3700a212-379c-481f-8f83-411e39ef933e
RULE,c09d18d7-ab20-463f-962a-78324c2ac712,,6.7.2,Competitors seeking an international classification must use the approved courses of fire available from the IPSC website.,fac11a06-ca7b-4843-9113-b26c8affb717,3700a212-379c-481f-8f83-411e39ef933e
RULE,49baf3e8-0035-4e49-bb36-bdd77582e484,,7.1.1,Range Officer ("RO") � Issues range commands~ oversees competitor compliance with the written stage briefing and closely monitors safe competitor action. He also declares the time~ scores and penalties achieved by each competitor and verifies that these are correctly recorded on the competitor's score sheet (under the authority of a Chief Range Officer and Range Master).,5c69fc1e-f639-4be0-83ea-4f1621045b07,3700a212-379c-481f-8f83-411e39ef933e
RULE,4deab413-5e3a-4ca6-868e-cecb4a1760d1,,7.1.2,Chief Range Officer ("CRO") � Is the primary authority over all persons and activities in the courses of fire under his control~ and oversees the fair~ correct and consistent application of these rules (under the direct authority of the Range Master).,5c69fc1e-f639-4be0-83ea-4f1621045b07,3700a212-379c-481f-8f83-411e39ef933e
RULE,4b5b8255-afb1-4c37-912e-2361b6298950,,7.1.3,Stats Officer ("SO") � Supervises the stats room team~ which collects~ sorts~ verifies~ tabulates and retains all score sheets and ultimately produces provisional and final results (under the direct authority of the Range Master).,5c69fc1e-f639-4be0-83ea-4f1621045b07,3700a212-379c-481f-8f83-411e39ef933e
RULE,9bbb957f-21d6-4b8c-8b63-6287a3622a2e,,7.1.4,Quartermaster ("QM") � Distributes~ repairs and maintains all range equipment (e.g. targets~ patches~ paint~ props etc.)~ other range needs (e.g. timers~ batteries~ staplers~ staples~ clipboards etc.) and replenishes Range Officer refreshments (under the direct authority of the Range Master).,5c69fc1e-f639-4be0-83ea-4f1621045b07,3700a212-379c-481f-8f83-411e39ef933e
RULE,504603d5-7c6b-4219-8da9-7c3b094233ae,,7.1.5,Range Master ("RM") � Has overall authority over all persons and activities within the entire range~ including range safety~ the operation of all courses of fire and the application of these rules. All disqualifications and appeals to arbitration must be brought to his attention. The Range Master is usually appointed by and works with the Match Director. However~ in respect of IPSC sanctioned Level IV or higher matches~ the appointment of the Range Master is subject to the prior written approval of the IPSC Executive Council.,5c69fc1e-f639-4be0-83ea-4f1621045b07,3700a212-379c-481f-8f83-411e39ef933e
RULE,07fab1b0-77d0-48c3-a219-d3057081c5db,,7.1.6,Match Director ("MD") � Handles overall match administration including squadding~ scheduling~ range construction~ the coordination of all support staff and the provision of services. His authority and decisions will prevail with regard to all matters except in respect of matters in these rules which are the domain of the Range Master. The Match Director is appointed by the host organization and works with the Range Master.,5c69fc1e-f639-4be0-83ea-4f1621045b07,3700a212-379c-481f-8f83-411e39ef933e
RULE,cc7841e4-ec2f-4557-99f3-74b2cb96ce55,,7.2.1,The Range Master has authority over all Match Officials other than the Match Director (except when the Match Director is actually participating as a competitor at the match)~ and is responsible for decisions in matters concerning conduct and discipline.,aa1f65c9-61ca-489f-a6bb-d99c6f077814,3700a212-379c-481f-8f83-411e39ef933e
RULE,1a68529d-cf41-44f7-9b2e-4b703855c5ea,,7.2.2,In the event that a Match Official is disciplined~ the Range Master must send a report of the incident and details of the disciplinary action to the Match Official's Regional Director~ the Regional Director of the Region hosting the match~ and to the President of the International Range Officers Association (IROA).,aa1f65c9-61ca-489f-a6bb-d99c6f077814,3700a212-379c-481f-8f83-411e39ef933e
RULE,bf5457ca-6d93-43ac-b558-73a458bc47cf,,7.2.3,A Match Official who is disqualified from a match for a safety infraction while competing will continue to be eligible to serve as a Match Official for the match. The Range Master will make any decision related to an official's participation.,aa1f65c9-61ca-489f-a6bb-d99c6f077814,3700a212-379c-481f-8f83-411e39ef933e
RULE,3bebdd9e-f62b-4302-9e1b-9547eeeadb27,,7.3.1,Match organizers must~ prior to commencement of a match~ appoint a Match Director and a Range Master to carry out the duties detailed in these rules. The nominated Range Master should preferably be the most competent and experienced certified Match Official present (also see Rule 7.1.5). For Level I and II matches a single person may be appointed to be both the Match Director and the Range Master.,187161da-5196-476d-8714-5a24a0bf2df6,3700a212-379c-481f-8f83-411e39ef933e
RULE,2067e395-706f-4924-8ec1-ae336122b500,,7.3.2,References in these rules to Match Officials (e.g. "Range Officer"~ "Range Master" etc.)~ mean personnel who have been officially appointed by match organizers to actually serve in an official capacity at the match. Persons who are certified Match Officials~ but who are actually participating in the match as regular competitors~ have no standing or authority as Match Officials for that match. Such persons should therefore not participate in the match wearing garments bearing Match Official insignia.,187161da-5196-476d-8714-5a24a0bf2df6,3700a212-379c-481f-8f83-411e39ef933e
RULE,371a40d2-83e3-4f1d-aa46-1c5336f7d19a,,7.3.3,A person acting as a Match Official is prohibited from having a holstered firearm while directly accompanying and timing a competitor during his attempt at a COF. Violations are subject to Rule 7.2.2.,187161da-5196-476d-8714-5a24a0bf2df6,3700a212-379c-481f-8f83-411e39ef933e
RULE,39160acb-6478-4e55-baa2-77037e06418f,,8.1.1,Rifles:,a4d6c3fa-df3c-4ca7-b1d5-60b14145dfe4,3700a212-379c-481f-8f83-411e39ef933e
RULE,bb4a3b6f-7848-44e5-b4f4-40df0e7ae679,,8.1.2,Not applicable.,a4d6c3fa-df3c-4ca7-b1d5-60b14145dfe4,3700a212-379c-481f-8f83-411e39ef933e
RULE,815efdb8-242c-457a-a6bc-833d10bbbde6,,8.1.3,Courses of fire may require ready conditions which are different to those stated above. In such cases~ the required ready condition must be clearly stated in the written stage briefing.,a4d6c3fa-df3c-4ca7-b1d5-60b14145dfe4,3700a212-379c-481f-8f83-411e39ef933e
RULE,bb8e31ca-a5b4-40e2-bdea-47a7250855a6,,8.1.4,Unless complying with a Division requirement (see Appendix D)~ a competitor must not be restricted on the number of rounds to be loaded or reloaded in a rifle. Written stage briefings may only stipulate when the firearm is to be loaded or when mandatory reloads are required~ when permitted under Rule 1.1.5.2.,a4d6c3fa-df3c-4ca7-b1d5-60b14145dfe4,3700a212-379c-481f-8f83-411e39ef933e
RULE,8d517f38-e799-4801-a97d-9d12daff14af,,8.2.1,The rifle is prepared~ made safe and held or placed as specified in the written stage briefing.,210701c0-6832-4df2-a07d-e05bec8a51e6,3700a212-379c-481f-8f83-411e39ef933e
RULE,96ed696f-600a-4d7c-ba40-c738a038ea1e,,8.2.2,Unless specified in the written stage briefing~ the competitor�s stance prior to the commencement of the course of fire must be standing erect~ with the rifle in the ready condition~ held in both hands~ stock touching the competitor at hip level~ barrel parallel to the ground~ trigger guard downwards~ muzzle pointing downrange and with the fingers outside the trigger guard. This applies to all rifle ready conditions~ unless otherwise specified in the written stage briefing.,210701c0-6832-4df2-a07d-e05bec8a51e6,3700a212-379c-481f-8f83-411e39ef933e
RULE,4e9c44b8-1c42-4ae3-991c-a8913f59525c,,8.2.3,A course of fire must never require or allow a competitor to touch or hold a magazine~ loading device or ammunition~ other than a magazine fitted to the rifle~ after the "Standby" command and before the Start Signal (except for unavoidable touching with the lower arms).,210701c0-6832-4df2-a07d-e05bec8a51e6,3700a212-379c-481f-8f83-411e39ef933e
RULE,fbf73783-a382-4d01-9338-1215c835fba7,,8.3.1,"Load And Make Ready" (or "Make Ready" for starts with an unloaded firearm) � This command signifies the start of "the Course of Fire". Under the direct supervision of the Range Officer the competitor must face downrange~ or in a safe direction as specified by the Range Officer~ fit eye and ear protection~ and prepare the firearm in accordance with the written stage briefing. The competitor must then assume the required start position. At this point~ the Range Officer will proceed.,48a81ed8-aef2-40f7-90e1-3df8531fe34d,3700a212-379c-481f-8f83-411e39ef933e
RULE,309fd6a0-ab9f-496c-b829-20573020003d,,8.3.2,"Are You Ready?" � The lack of any negative response from the competitor indicates that he fully understands the requirements of the course of fire and is ready to proceed. If the competitor is not ready at this command~ he must state "Not Ready". When the competitor is ready he should assume the required start position to indicate his readiness to the Range Officer.,48a81ed8-aef2-40f7-90e1-3df8531fe34d,3700a212-379c-481f-8f83-411e39ef933e
RULE,51d99dae-a404-48b0-8be0-a01a075aa050,,8.3.3,"Standby" � This command should be followed by the Start Signal within 1 to 4 seconds (also see Rule 10.2.6).,48a81ed8-aef2-40f7-90e1-3df8531fe34d,3700a212-379c-481f-8f83-411e39ef933e
RULE,bf9060a9-4066-4cb3-85ef-04ef4a1c4c8d,,8.3.4,"Start Signal" � The signal for the competitor to begin their attempt at the course of fire. If a competitor fails to react to a Start Signal~ for any reason~ the Range Officer will confirm that the competitor is ready to attempt the course of fire~ and will resume the range commands from "Are You Ready?",48a81ed8-aef2-40f7-90e1-3df8531fe34d,3700a212-379c-481f-8f83-411e39ef933e
RULE,5f9ea152-70e7-4f5c-bb48-e4f58ebd4c7d,,8.3.5,"Stop" � Any Range Officer assigned to a stage may issue this command at any time during the course of fire. The competitor must immediately cease firing~ stop moving and wait for further instructions from the Range Officer.,48a81ed8-aef2-40f7-90e1-3df8531fe34d,3700a212-379c-481f-8f83-411e39ef933e
RULE,a89546fe-4192-4696-8702-189e33fdb320,,8.3.6,"If You Are Finished~ Unload And Show Clear" � If the competitor has finished shooting~ he must lower his rifle and present it for inspection by the Range Officer with the muzzle pointed downrange~ fixed magazine empty or detachable magazine removed and chamber empty~ action held or latched open.,48a81ed8-aef2-40f7-90e1-3df8531fe34d,3700a212-379c-481f-8f83-411e39ef933e
RULE,a54113ad-7179-476a-9ac1-98c508e795b6,,8.3.7,"If Clear~ Hammer Down~ Open Action" � After issuance of this command~ the competitor must not resume shooting (see Rule 10.6.1). While continuing to point the rifle safely downrange~ the competitor must perform a final safety check of the rifle as follows:,48a81ed8-aef2-40f7-90e1-3df8531fe34d,3700a212-379c-481f-8f83-411e39ef933e
RULE,8a23b98a-1f8d-4d65-9ec0-badbc0faf3c1,,8.3.8,"Range Is Clear" � Competitors or Match Personnel must not move forward of~ or away from~ the firing line or final shooting location until this declaration is given by the Range Officer. Once the declaration is made~ officials and competitors may move forward to score~ patch~ reset targets etc.,48a81ed8-aef2-40f7-90e1-3df8531fe34d,3700a212-379c-481f-8f83-411e39ef933e
RULE,cd5e5d87-4bd3-4c10-922e-e2d7d3119092,,8.3.9,A competitor with a severe hearing disability may~ subject to prior approval of the Range Master~ be entitled to have the foregoing verbal Range Communications supplemented by visual and/or physical signals.,48a81ed8-aef2-40f7-90e1-3df8531fe34d,3700a212-379c-481f-8f83-411e39ef933e
RULE,f2253617-b608-44ef-8d53-738e8def65ba,,8.3.10,There are no fixed range communications designated for use at the chronograph station or at an equipment compliance check (which may be conducted at a venue away from the shooting range). Competitors must not handle their handguns~ or remove chamber safety flags from long guns~ as the case may be~ until the examiner asks for them to be passed to him~ in accordance with his instructions. Violations are subject to Rule 10.5.1.,48a81ed8-aef2-40f7-90e1-3df8531fe34d,3700a212-379c-481f-8f83-411e39ef933e
RULE,89a57b4b-6c7a-41b3-a847-d6307c3e44ab,,8.4.1,When loading~ reloading or unloading during a course of fire~ the competitor's fingers must be visibly outside the trigger guard~ except where specifically permitted (see Rules 8.3.7.1 and 10.5.9)~ and the firearm must be pointed safely downrange or in another safe direction authorized by a Range Officer (see Rules 10.5.1 and 10.5.2).,7188a402-5574-495f-b0ea-133d2d2f5968,3700a212-379c-481f-8f83-411e39ef933e
